district,total_target,sc_st_no_of_a_cs,sanction_amount,disburseme_nt_amt,women_no_of_a_cs,sanction_amount,disbursement_amt,total_no_of_a_cs,sanction_amount,disbursement_amt
Angul,308,52,12.24,8.77,329,90.48,71.5,381,102.72,80.27
Balangir,290,30,6.77,5.26,123,27.45,18.27,153,34.22,23.53
Balasore,454,58,13.71,9.14,308,71.64,51.27,366,85.35,60.41
Bargarh,294,61,12.71,9.67,185,46.82,33.33,246,59.53,43.00
Bhadrak,278,30,6.22,5.64,176,40.74,24.55,206,46.96,30.19
Boudh,92,22,5.18,4.26,43,11.2,8.7,65,16.38,12.96
Cuttack,850,101,21.95,13.44,638,145.76,90.52,739,167.71,103.96
Deogarh,74,6,0.75,0.14,23,5.69,2.55,29,6.44,2.69
Dhenkanal,276,47,10.06,8.29,223,57.12,44.15,270,67.18,52.44
Gajapati,96,10,2.19,1.22,43,9.49,5.66,53,11.68,6.88
Ganjam,816,96,21.24,15.4,500,129.83,81.74,596,151.07,97.14
Jharsuguda,184,36,8.3,6.09,154,38.39,27.79,190,46.69,33.88
Kalahandi,262,50,9.29,7.54,99,24.15,15.85,149,33.44,23.39
Kandhamal,134,27,5.02,4.19,64,10.79,8.04,91,15.81,12.23
Kendrapara,260,22,4.59,3.61,104,20.19,13.6,126,24.78,17.21
Keonjhar,380,56,12.8,11.36,240,62.21,46.71,296,75.01,58.07
Khordha,1226,204,43.64,31.75,1141,278.71,187.59,1345,322.35,219.34
Koraput,238,47,11.5,9.82,146,32.57,16.42,193,44.07,26.24
Malkangiri,108,39,8.87,5.54,24,5.28,4.24,63,14.15,9.78
Mayurbhanj,498,95,23.74,20.01,244,57.6,43.62,339,81.34,63.63
Nabarangpur,130,28,7.23,4.43,43,7.85,5.38,71,15.08,9.81
Nayagarh,226,23,4.46,3.99,131,25.65,19.33,154,30.11,23.32
Nuapada,104,15,3.07,1.92,35,8.02,4.83,50,11.09,6.75
Puri,420,101,15.62,13.87,300,55.94,41.16,401,71.56,55.03
Rayagada,200,33,6.44,5.28,109,22.93,14.85,142,29.37,20.13
Sambalpur,370,102,20.72,18.17,322,83.6,61.74,424,104.32,79.91
Subarnapur,130,19,3.51,2.71,43,10.15,7.25,62,13.66,9.96
Sundargarh,480,150,41.02,33.59,483,146.53,114.61,633,187.55,148.20
