district,target_physical_3,financial_4,cumulative_sponsoring_physical_5,financial_6,cumulative_achievement_physical_7,financial_8,pct_achievement_physical_9_7_3,financial_10_8_4,average_loan_size_11_8_7
Angul,16130,79992.90,14726,81013.70,13266,63515.04,82,79,4.79
Balangir,12050,48264.77,12647,65532.00,10725,37809.16,89,78,3.53
Balasore,24770,129801.35,25656,173915.93,23077,115964.25,93,89,5.03
Bargarh,11750,54202.52,11378,60728.50,9429,38310.21,80,71,4.06
Bhadrak,17700,94260.45,15584,101294.09,14046,78136.97,79,83,5.56
Boudh,3980,19762.22,3541,19557.30,3382,14393.69,85,73,4.26
Cuttack,24385,128411.50,26090,167809.18,23452,133430.75,96,104,5.69
Deogarh,4450,19006.23,3888,20362.20,3765,16048.45,85,84,4.26
Dhenkanal,12090,60443.04,12736,80925.21,10085,51793.75,83,86,5.14
Gajapati,6195,25042.45,6345,35056.60,5151,23830.37,83,95,4.63
Ganjam,31365,156287.15,29277,198177.20,27581,137877.37,88,88,5.00
Jajpur,19500,105695.60,17291,104698.90,17164,97859.89,88,93,5.70
Jharsuguda,4805,23310.24,4708,24168.05,4466,18453.46,93,79,4.13
Kalahandi,9985,40572.66,10707,55765.50,10298,40881.79,103,101,3.97
Kandhamal,7645,33990.77,8489,52287.50,7241,28945.15,95,85,4.00
Kendrapara,15900,84865.11,13227,85396.87,11807,58148.28,74,69,4.92
Keonjhar,17035,81627.75,17028,97809.03,16163,78260.68,95,96,4.84
Khordha,19600,120937.00,19656,170109.44,18191,118767.76,93,98,6.53
Koraput,10045,40210.89,8771,45854.78,7825,29137.53,78,72,3.72
Malkangiri,4920,19951.28,4780,25916.20,4599,18586.37,93,93,4.04
Mayurbhanj,26535,134164.63,19169,113544.49,18898,98335.14,71,73,5.20
Nabarangpur,7290,29662.25,6732,33608.88,5924,21131.63,81,71,3.57
Nayagarh,11740,69681.05,12903,94437.70,11979,72505.79,102,104,6.05
Nuapada,5440,22154.19,5837,30884.15,5786,20151.80,106,91,3.48
Puri,21415,114356.00,23121,168498.10,20027,115437.87,94,101,5.76
Rayagada,7120,30119.29,6455,32834.11,5653,19153.39,79,64,3.39
Sambalpur,8880,48656.00,9066,59861.90,8607,41735.19,97,86,4.85
Subarnapur,5790,24992.23,5400,32729.40,4379,17923.13,76,72,4.09
Sundargarh,17500,86820.78,17550,93813.10,16212,69317.25,93,80,4.28
