district,shishu_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,kishore_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,tarun_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,tarun_plus_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,total_no_of_a_cs,sanctione_d_amt,disburse_ment_amt
Angul,54256,196.71,195.42,31432,302.07,299.37,1418,113.16,111.72,6,0.82,0.78,87112,612.76,607.29
Balangir,64865,245.55,244.46,35761,315.02,311.97,1333,103.89,102.41,12,1.76,1.59,101971,666.22,660.42
Balasore,68775,245.50,244.57,49783,515.73,512.65,2851,223.76,221.39,27,3.91,3.83,121436,988.90,982.45
Bargarh,63501,225.94,225.25,35396,320.05,317.93,1060,86.44,84.85,13,1.8,1.79,99970,634.24,629.82
Bhadrak,59259,217.13,216.54,46817,440.59,439.39,2383,187.32,185.56,18,2.61,2.61,108477,847.66,844.10
Boudh,14841,55.69,55.35,9159,87.41,86.61,501,40.41,39.59,6,0.93,0.9,24507,184.44,182.45
Cuttack,115731,417.29,417.02,62781,655.73,652.08,4687,380.61,376.95,30,5.01,4.85,183229,1458.63,1450.90
Deogarh,7500,26.48,26.22,2938,34.1,32.67,342,25.48,24.62,1,0.2,0.2,10781,86.26,83.71
Dhenkanal,45975,167.39,166.97,24780,246.21,245.3,1490,115.75,115.39,8,1.31,1.22,72253,530.65,528.88
Gajapati,14495,51.52,51.42,7191,73.69,72.99,409,31.78,31.64,3,0.34,0.34,22098,157.33,156.38
Ganjam,110087,400.96,399.6,78382,808.6,803.93,5141,411.84,406.8,48,7.27,6.79,193658,1628.67,1617.12
Jagatsinghpur,50021,183.68,181.56,29086,293.28,290.49,2022,160.9,159.85,9,1.45,1.45,81138,639.31,633.36
Jajpur,53842,197.05,196.2,35178,392.22,390.24,2395,186.61,185.34,34,5.16,5.16,91449,781.05,776.94
Jharsuguda,22732,82.30,81.99,14907,142.85,141.38,802,63.05,62.11,16,1.98,1.88,38457,290.18,287.37
Kalahandi,50613,185.49,184.94,24804,223.76,222.65,1076,88.09,87.31,18,2.8,2.72,76511,500.13,497.62
Kandhamal,23111,85.00,84.69,7104,79.15,78.31,709,57.44,56.24,4,0.53,0.52,30928,222.13,219.76
Kendrapara,26482,93.18,93.01,15697,183.5,180.97,1699,136.91,136.15,9,1.32,1.18,43887,414.90,411.30
Keonjhar,39700,140.58,140.03,21106,282.82,280.12,3019,254.42,252.83,10,1.58,1.58,63835,679.40,674.57
Khordha,139921,516.69,515.73,75951,927.73,922.1,7362,1702.38,1695.28,75,11.38,11.3,223309,3158.18,3144.40
Koraput,45705,164.04,163.58,20191,195.1,193.08,1314,108.19,106.13,22,3.82,3.59,67232,471.15,466.39
Malkangiri,26748,96.06,95.37,9189,77.32,76.07,388,30,29.82,6,0.86,0.85,36331,204.24,202.10
Mayurbhanj,83968,285.67,284.45,34270,423,413.47,3988,320.85,314.48,4,0.57,0.57,122230,1030.09,1012.98
Nabarangpur,21401,78.49,77.68,9892,87.51,86.85,705,54,53.55,3,0.46,0.46,32001,220.45,218.54
Nayagarh,39711,150.04,149.07,27269,261.75,260.06,1627,124.64,123.67,13,2.03,2.03,68620,538.45,534.82
Nuapada,18328,70.50,70.17,10556,89.34,88.48,493,39.52,39.26,2,0.38,0.38,29379,199.74,198.30
Puri,67754,237.40,236.54,41823,449.95,447.6,2693,214.34,212.79,19,3.12,3.02,112289,904.81,899.95
Rayagada,36713,131.05,130.3,18004,159.4,158.26,690,54.54,53.63,1,0.12,0.12,55408,345.11,342.31
Sambalpur,45536,167.27,166.5,24121,277.15,274.67,2046,160.42,159,16,2.61,2.57,71719,607.45,602.74
Subarnapur,30959,115.17,114.71,17056,163.06,161.69,820,64.16,63.52,3,0.27,0.27,48838,342.65,340.18
Sundargarh,57663,209.47,208.73,34971,374.84,371.62,2452,191.74,188.78,19,2.65,2.49,95105,778.70,771.62
