district,cumulative_till_31032025_total_application,disbursed_amount_in_rs_lakhs
Angul,62,48.54
Balangir,105,137.36
Balasore,161,163.55
Bargarh,129,137.65
Bhadrak,155,107.78
Boudh,38,31.74
Cuttack,281,345.10
Deogarh,17,5.21
Dhenkanal,131,117.30
Gajapati,110,98.54
Ganjam,383,398.58
Jagatsinghpur,23,29.75
Jajpur,100,81.04
Jharsuguda,62,69.00
Kalahandi,114,108.59
Kandhamal,23,15.27
Kendrapara,34,30.52
Keonjhar,23,14.66
Khordha,269,370.26
Koraput,128,166.54
Malkangiri,26,13.05
Mayurbhanj,52,36.50
Nabarangpur,20,13.99
Nayagarh,44,44.37
Nuapada,28,25.52
Puri,150,148.90
Rayagada,48,43.53
Sambalpur,136,149.88
Subarnapur,71,66.78
Sundargarh,60,56.24
