district,rseti_grading_for_2023_24,residential_training_facility,issue_of_permissive_possession,building_construction_status
Angul,AA,YES,Yes,"Rented BuildingApplied for waiver of premiumrentcess. Pending with Revenue & Disaster Management
Deptt.Govt. of Odisha."
Balangir,AA,YES,YES,Own Building
Balasore,AA,YES,YES,Running in own Building
Bargarh,AA,YES,YES,Own Building
Bhadrak,AA,No,YES,Running in own Building
Boudh,AA,YES,YES,Own Building
Cuttack,AA,Yes,NO,"Rented BuildingApplied for waiver of premiumrentcess. Pending with Revenue & Disaster Management
Deptt.Govt. of Odisha."
Deogarh,AA,YES,YES,Own Building
Dhenkanal,AA,YES,Yes,On the verge og completion
Gajapati,AA,YES,YES,"Rented BuidngApplied for waivement of Premiumrent
cessPending with Reveneue and Disaster Managent
Govt of Odisha"
Ganjam,AA,YES,YES,"Rented BuidngApplied for waivement of Premiumrent
cessPending with Reveneue and Disaster Managent
Govt of Odisha"
Jagatsinghpur,AA,YES,YES,Own Building
Jajpur,AA,YES,YES,Own Building
Jharsuguda,AA,YES,YES,Own Building
Kalahandi,AA,YES,YES,"Due to low lying areasthough building is constructedis
not in a position to be used. Bank has applied for fresh
landidentification"
Kandhamal,AA,YES,YES,Own Building
Kendrapara,AA,YES,YES,Own Building
Keonjhar,AA,YES,YES,Own Building
Khordha,AA,YES,YES,Own Building
Koraput,AA,YES,YES,Own Building
Malkangiri,AA,YES,YES,Own Building
Mayurbhanj,AA,YES,YES,Own Building
Nabarangpur,AA,YES,YES,Own Building
Nayagarh,AA,YES,YES,Own Building
Nuapada,AA,YES,YES,Own Building
Puri,AA,Yes,NO,Land to be allottedrunning in rented Building
Rayagada,AA,YES,YES,"Due to objection of NIRD (Since the constructed Building
is not as per the approved plan)extension of Building
work to be done."
Sambalpur,AA,YES,YES,Own Building
Subarnapur,AA,YES,YES,Own Building
Sundargarh,AA,YES,YES,Own Building
