district,total_no_of_advance_accounts_2022_23,2023_24,2024_25,total_no_of_pmjdy_od_accounts_2022_23,2023_24,2024_25
Angul,344439,449709,569495,16532,17563,2816
Balangir,466980,569457,683072,34675,36807,3554
Balasore,646062,758441,975998,38531,39703,4172
Bargarh,379468,500229,667992,57435,59637,2410
Bhadrak,659577,607284,676947,29384,29893,5251
Boudh,113645,121841,210000,31266,31521,1704
Cuttack,1041158,1239841,1239391,35546,40181,17164
Deogarh,66333,79657,119993,18610,19025,596
Dhenkanal,285469,301530,437245,13827,15584,7733
Gajapati,115562,124407,97344,9112,10727,3335
Ganjam,928159,1167958,1100336,91477,99142,11124
Jagatsinghpur,371737,394173,307596,15078,17369,6245
Jajpur,1346935,957427,858523,68127,71075,5136
Jharsuguda,181749,216842,259096,10422,10829,1417
Kalahandi,341598,376215,427463,16733,17676,3954
Kandhamal,154225,172410,221933,4504,4781,1719
Kendrapara,285453,299106,331568,25379,26069,11040
Keonjhar,753332,589509,792871,27775,28943,9514
Khordha,1653601,2154490,2248900,65122,69447,11283
Koraput,300824,336470,408759,39823,40447,2650
Malkangiri,86328,97534,140852,44633,45102,1424
Mayurbhanj,625263,754447,605564,17318,20850,19486
Nabarangpur,174297,195345,253337,37060,37674,1580
Nayagarh,315894,356323,565063,23678,25011,7188
Nuapada,124232,142990,140589,13693,13885,2434
Puri,597423,752650,817535,36247,40538,8422
Rayagada,174830,232171,272169,8425,8691,1198
Sambalpur,374555,500820,620415,30823,30907,3214
Subarnapur,201128,243744,291891,21946,22040,1214
Sundargarh,1023650,747449,823779,16174,18100,8354
