district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,10.60,0.20,1.84,29.12,19.79,67.93,151.19,94.94,62.79,3.40,1.19,34.96,388.88,314.45,80.86,50.01,51.17,102.33,6366.59,6650.91,104.47
Balangir,5.00,0.00,0.00,23.26,13.79,59.27,198.24,110.16,55.57,4.81,0.29,6.03,277.44,196.55,70.84,77.17,169.66,219.86,6444.78,7847.22,121.76
Balasore,1285.00,62.00,4.82,56.23,34.11,60.66,223.77,202.52,90.51,6.05,0.72,11.87,638.01,612.59,96.02,132.17,2.49,1.89,10611.80,9249.41,87.16
Bargarh,2.00,15.00,750.00,19.59,10.93,55.80,180.21,104.32,57.89,4.09,0.83,20.22,138.40,120.14,86.81,29.34,2.98,10.14,7372.13,8201.95,111.26
Bhadrak,25.00,0.00,0.00,39.14,17.07,43.61,193.85,113.51,58.56,4.22,0.90,21.24,567.60,367.49,64.74,73.70,5.51,7.48,5510.37,4649.59,84.38
Boudh,5.10,0.00,0.00,6.18,1.53,24.78,115.69,40.44,34.95,3.10,0.26,8.26,61.64,34.66,56.23,7.12,0.76,10.65,1724.39,1303.77,75.61
Cuttack,23.24,0.94,4.05,80.50,81.34,101.03,1034.62,360.50,34.84,13.88,14.13,101.80,1801.74,1742.86,96.73,115.62,11.30,9.78,15754.39,15070.70,95.66
Deogarh,2.00,0.00,0.00,5.81,1.33,22.86,59.05,11.11,18.82,0.59,0.04,6.48,72.99,15.26,20.91,6.32,1.38,21.90,1015.62,730.99,71.98
Dhenkanal,25.00,0.00,0.00,28.63,12.80,44.71,147.59,67.27,45.58,4.70,0.45,9.55,325.62,233.76,71.79,78.27,1.04,1.33,3845.38,2798.98,72.79
Gajapati,2.00,0.00,0.00,16.33,9.40,57.59,98.61,28.49,28.89,5.04,0.61,12.18,313.35,51.81,16.53,94.35,0.47,0.50,1713.04,1120.28,65.40
Ganjam,42.00,0.06,0.15,95.27,81.62,85.67,588.96,591.37,100.41,1.20,4.26,355.10,645.00,636.98,98.76,24.68,5.47,22.15,13628.47,14055.15,103.13
Jagatsinghpur,2.00,0.00,0.00,83.90,17.87,21.29,95.66,112.54,117.64,3.48,1.40,40.19,204.46,323.73,158.34,88.16,4.89,5.55,4227.56,3538.37,83.70
Jajpur,2.00,1.71,85.26,40.25,27.51,68.34,166.61,221.32,132.84,3.73,1.18,31.62,389.48,404.81,103.93,64.90,3.20,4.93,8201.57,6825.56,83.22
Jharsuguda,5.00,0.00,0.00,10.56,14.38,136.22,166.77,93.35,55.98,7.09,0.45,6.32,96.67,72.51,75.01,82.01,1.24,1.52,3542.00,3976.28,112.26
Kalahandi,15.00,0.00,0.00,19.23,11.31,58.83,186.83,105.63,56.54,2.67,0.32,12.15,153.32,139.78,91.17,46.17,431.04,933.55,4296.42,4706.99,109.56
