district,no_of_applications_accepted,no_of_applications_sanctioned,no_of_applications_pending,no_of_applications_rejected
Angul,3147,716,,2431
Balangir,1569,454,257,858
Balasore,4342,1376,57,2909
Bargarh,1485,720,56,709
Bhadrak,1738,300,,1438
Boudh,282,12,,270
Cuttack,3892,1602,112,2178
Deogarh,78,45,,33
Dhenkanal,2780,1149,180,1451
Gajapati,636,201,5,430
Ganjam,2369,457,11,1901
Jharsuguda,267,75,6,186
Kalahandi,1037,229,26,782
Kandhamal,696,131,3,562
Kendrapara,15764,3021,17,12726
Keonjhar,2351,553,1484,314
Khordha,1389,540,,849
Koraput,1279,460,76,743
Malkangiri,2063,313,6,1744
Mayurbhanj,1557,651,24,882
Nabarangpur,1408,445,74,889
Nayagarh,565,42,,523
Nuapada,513,138,43,332
Puri,9290,2523,480,6287
Rayagada,2063,596,37,1430
Sambalpur,1218,556,20,642
Subarnapur,362,133,96,133
Sundargarh,1915,494,,1421
