district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,69.80,47.97,68.73,26.10,64.04,245.32,95.91,112.01,116.79,2233.39,2010.13,90.00,700.00,918.48,131.21,875.00,1154.87,131.98,490.00,723.54,147.66
Balangir,197.95,523.24,264.32,187.46,233.78,124.71,385.41,757.01,196.42,3506.28,5174.12,147.57,470.51,471.81,100.27,588.14,723.71,123.05,329.36,247.82,75.24
Balasore,44.80,231.70,517.19,28.39,149.88,527.92,73.19,381.58,521.35,3632.02,3281.92,90.36,927.71,942.46,101.59,1159.64,1340.18,115.57,649.40,897.88,138.26
Bargarh,65.83,410.30,623.27,2.12,334.76,15779.08,67.95,745.06,1096.45,5273.20,4413.76,83.70,327.81,862.46,263.10,276.05,744.67,269.76,241.54,836.99,346.52
Bhadrak,12.67,64.57,509.80,25.08,91.47,364.74,37.74,156.04,413.42,2731.64,2425.77,88.80,375.04,382.89,102.09,468.81,637.18,135.92,262.53,307.22,117.02
Boudh,20.26,41.51,204.90,36.55,39.24,107.35,56.81,80.75,142.13,1136.32,889.23,78.26,77.85,73.82,94.82,97.31,130.53,134.14,54.49,42.92,78.76
Cuttack,822.07,398.05,48.42,53.65,117.64,219.27,875.72,515.69,58.89,4159.72,5021.09,120.71,1619.77,1036.52,63.99,1364.01,2023.33,148.34,1193.51,999.70,83.76
Deogarh,5.86,2.05,34.94,1.38,41.80,3033.69,7.24,43.85,605.53,683.45,509.81,74.59,37.08,43.61,117.61,46.35,94.01,202.83,25.96,9.16,35.29
Dhenkanal,79.04,35.57,45.01,8.66,26.59,307.02,87.70,62.16,70.88,1985.17,1438.50,72.46,250.08,271.54,108.58,312.60,420.82,134.62,175.06,110.70,63.24
Gajapati,57.24,27.25,47.60,13.60,41.48,304.96,70.84,68.73,97.01,726.85,645.29,88.78,86.74,101.68,117.23,73.04,180.33,246.89,63.91,25.59,40.03
