district,total_no_pmjjby_accounts_male_2022_23,2023_24,2024_25,total_no_pmjjby_accounts_female_2022_23,2023_24,2024_25,total_no_pmjjby_accounts_transgender_2022_23,2023_24,2024_25,total_no_pmsby_accounts_male_2022_23,2023_24,2024_25,total_no_pmsby_accounts_female_2022_23,2023_24,2024_25,total_no_pmsby_accounts_transgender_2022_23,2023_24,2024_25,total_no_apy_accounts_male_2022_23,2023_24,2024_25,total_no_apy_accounts_female_2022_23,2023_24,2024_25,total_no_nps_accounts_male_2022_23,2023_24,2024_25,total_no_nps_accounts_female_2022_23,2023_24,2024_25
Angul,75722,102873,148333,129073,149520,192161,,,287,240557,264935,356715,255766,302125,359754,,,543,23269,32792,33941,31660,43869,57141,565,464,3111,293,103,375
Balangir,81282,107082,139822,135007,159739,207623,,,444,288581,344222,412388,312071,399740,382960,,,749,25594,31542,51405,33985,42619,34927,378,264,1945,96,47,1404
Balasore,91665,114226,137696,190868,226386,283678,,,271,333735,387068,476819,436846,527360,472873,,,654,42543,51128,59090,50934,62205,103219,254,432,4790,82,99,1010
Bargarh,85071,107483,131104,142066,163743,209640,,,336,298886,332217,392894,323117,381675,630833,,,879,22982,29904,50002,31373,40981,34035,480,386,1869,225,403,289
Bhadrak,62822,86485,93096,110691,131766,158162,,,206,261840,295909,318826,290944,351578,458883,,,263,32684,38299,38114,41075,49376,70182,196,212,3528,76,63,697
Boudh,38268,52843,39076,68122,73562,65396,,,125,149337,159042,110579,143048,166607,130141,,,214,13928,16781,15019,22319,27858,15661,41,57,278,11,8,42
Cuttack,117459,155472,203506,175598,224729,304191,,,1216,363710,430414,607984,390171,494203,675996,,,1121,55275,67048,86363,63666,78125,118835,1614,2248,11782,729,1382,3266
Deogarh,32375,44422,25098,62605,62110,44441,,,59,137340,139859,71079,131254,145779,93203,,,71,10552,12661,9174,18943,23738,11747,169,67,305,22,12,40
Dhenkanal,90068,115350,142005,152895,171585,196952,,,512,245105,268898,339013,269409,313668,363740,,,820,22431,31981,30219,30822,43058,54668,464,226,1356,107,38,177
Gajapati,40350,56544,46375,71328,78343,74208,,,161,158253,169370,129527,149417,175918,153452,,,221,13825,16509,15485,22216,27586,17120,81,136,940,31,25,94
Ganjam,124980,169132,282949,223579,292101,469527,,,657,439574,531610,785926,546501,705233,1028728,,,987,44564,57086,139905,52955,68163,86810,1178,1237,6051,380,311,1241
Jagatsinghpur,67220,85681,102446,89686,103874,110052,,,111,228903,253349,267359,227591,274964,283333,,,348,24725,29290,30470,33116,40367,48195,580,372,4143,235,76,288
Jajpur,73227,98739,147141,137982,164726,202481,,,296,298723,339539,459950,331690,400961,494355,,,680,35030,41467,50328,43421,52544,77782,762,387,2825,227,92,298
Jharsuguda,43859,57871,60507,71703,76161,81090,,,270,158669,170392,157614,144468,171662,164287,,,397,15160,18911,22767,23551,29988,18456,835,388,2259,361,684,251
Kalahandi,57988,86290,95763,106436,141004,187396,,,328,225296,270301,282276,258367,335206,391682,,,465,19237,25041,36673,27628,36118,25266,333,190,1161,57,25,171
Kandhamal,44255,58815,59408,86286,93098,108707,,,162,158877,171216,163626,174700,206088,219946,,,619,14095,16435,18579,22486,27512,19115,212,119,628,33,13,96
Kendrapara,58509,78213,94036,85740,102742,142109,,,207,225826,254157,310995,245841,296424,374711,,,468,27962,33415,35018,36353,44492,61407,194,193,2160,69,85,296
Keonjhar,122193,150336,155113,142333,159887,203130,,,177,325249,379979,409856,313518,378869,440058,,,601,43991,50422,49711,52382,61499,79689,406,329,2145,105,68,337
Khordha,114986,145415,227949,154061,186747,283127,,,779,386732,447676,696799,357459,439468,668746,,,1279,56164,68135,101730,64555,79212,114105,4835,4065,23333,2830,3678,19548
Koraput,71433,94689,97042,114329,135266,158368,,,196,223757,251573,251631,238590,291642,318003,,,306,24257,30129,46824,32648,41206,30064,230,206,1291,90,49,239
Malkangiri,48313,64345,56085,80271,86749,84820,,,147,158963,170817,121711,152900,182975,154601,,,73,13421,16630,12928,21812,27707,14650,79,87,389,19,22,74
Mayurbhanj,171816,215244,235536,216198,264654,366621,,,1099,484703,528893,607599,364864,529821,697858,,,451,55780,69790,73760,64171,80867,106457,662,401,3339,150,97,360
Nabarangpur,53018,76418,71133,107658,129688,151724,,,597,189108,217837,174964,215138,270821,268436,,,174,16208,19925,23898,24599,31002,18136,90,78,636,30,15,86
Nayagarh,49500,67724,67141,97380,115501,134897,,,139,194269,215161,200142,208672,252710,259026,,,200,20465,25536,20920,28856,36613,46193,215,162,1075,71,28,156
Nuapada,46054,62896,64422,77909,86214,94311,,,224,168657,188129,164295,162102,196936,187770,,,258,12226,15684,15363,20617,26761,14657,132,57,594,18,6,72
Puri,79922,98540,138821,129635,144976,206216,,,295,253544,280135,418635,269339,323298,470528,,,378,31489,40035,50724,39880,51112,82695,1171,491,4520,300,1077,700
Rayagada,51509,71485,84618,87163,100898,128749,,,190,186986,203348,190727,189395,227581,235586,,,250,18801,23740,32929,27192,34817,23046,372,202,794,104,36,176
Sambalpur,61114,79632,113203,106572,117834,165088,,,501,212297,233823,299608,227678,267375,349343,,,802,20680,26396,47658,29071,37473,32561,572,898,4054,276,788,589
Subarnapur,40902,56631,55550,74797,82506,90671,,,291,185579,198326,171134,178684,208788,192176,,,517,16599,20216,23218,24990,31293,19908,48,98,984,19,17,236
Sundargarh,105281,137230,223170,169331,199182,319025,,,893,283535,350569,553067,320943,398395,623956,,,1469,33854,42963,83159,42235,54002,66368,1061,868,5752,700,1226,940
