district,fy_2024_25_no_of_claims_settled,amount_in_rs,cumulative_no_of_claims_settled,amount_in_rs,no_of_pending_claims
Angul,70,14000000.00,196,39200000.00,16
Balangir,46,9000000.00,184,36100000.00,4
Balasore,74,14700000.00,274,52440000.00,39
Bargarh,50,10000000.00,170,34000000.00,10
Bhadrak,46,9200000.00,155,30900000.00,13
Boudh,10,2000000.00,55,11000000.00,2
Cuttack,71,13900000.00,281,56000000.00,28
Deogarh,16,3200000.00,74,14800000.00,2
Dhenkanal,84,16800000.00,274,54500000.00,27
Gajapati,7,1400000.00,56,11100000.00,2
Ganjam,44,8800000.00,286,57000000.00,17
Jagatsinghpur,31,5900000.00,131,25800000.00,15
Jajpur,59,11800000.00,254,50500000.00,22
Jharsuguda,25,5000000.00,95,18800000.00,4
Kalahandi,31,6200000.00,127,25400000.00,6
Kandhamal,18,3600000.00,106,21100000.00,5
Kendrapara,34,6800000.00,114,22800000.00,10
Keonjhar,67,13400000.00,224,44600000.00,20
Khordha,67,13400000.00,323,64500000.00,31
Koraput,24,4800000.00,99,19800000.00,5
Malkangiri,13,2600000.00,54,10800000.00,4
Mayurbhanj,45,9000000.00,189,37800000.00,42
Nabarangpur,9,1800000.00,65,13000000.00,2
Nayagarh,41,8200000.00,111,22100000.00,12
Nuapada,26,5200000.00,78,15600000.00,4
Puri,47,9400000.00,200,40000000.00,23
Rayagada,16,3200000.00,132,26400000.00,4
Sambalpur,52,10100000.00,196,38800000.00,23
Subarnapur,14,2800000.00,79,15800000.00,2
Sundargarh,53,10500000.00,247,48900000.00,13
