district,branches_rural,semi_urban,urban,total_branches,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgender_bcs,out_of_total_bcs_wshg_members,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,112,86,5,203,918,105,107,1130,810,320,0,164,768,935,76,190,8,274
Balangir,104,96,5,205,1395,447,179,2021,1696,325,0,131,1474,1647,24,181,1,206
Balasore,180,64,55,299,1890,336,298,2524,1829,689,0,311,1972,2379,108,88,189,385
Bargarh,126,75,6,207,988,161,33,1182,964,216,0,106,851,1192,48,152,5,205
Bhadrak,113,26,34,173,1322,140,182,1644,1229,397,0,156,1335,1542,61,29,153,243
Boudh,32,22,1,55,280,54,2,336,265,64,0,43,274,306,4,47,0,51
Cuttack,240,41,221,502,1857,117,627,2601,1940,660,0,105,1933,2358,171,69,410,650
Deogarh,24,19,1,44,178,49,1,228,161,70,0,38,177,199,10,34,0,44
Dhenkanal,96,58,1,155,706,111,7,824,614,208,0,101,581,619,55,122,1,178
Gajapati,42,24,2,68,341,104,0,445,301,146,0,113,337,365,27,55,5,87
Ganjam,218,154,111,483,2434,401,429,3264,2577,731,0,203,2461,3073,119,224,271,614
Jagatsinghpur,118,56,2,176,1389,125,268,1782,1339,442,0,135,1418,1610,85,145,3,233
Jajpur,175,64,2,241,1964,190,306,2460,1876,618,0,157,1874,2300,131,189,2,322
Jharsuguda,38,68,3,109,251,54,31,336,256,78,0,30,216,294,10,132,4,146
Kalahandi,108,67,3,178,1445,121,125,1691,1466,222,0,101,1320,1616,80,89,1,170
Kandhamal,42,39,0,81,403,197,26,626,494,131,0,87,402,559,9,79,0,88
Kendrapara,104,46,1,151,725,212,103,1040,711,329,0,154,683,772,62,136,3,201
Keonjhar,128,108,0,236,1355,158,299,1812,1484,328,0,104,1457,1629,70,211,0,281
Khordha,184,71,515,770,1433,149,1121,2703,1826,872,0,88,2049,2555,149,170,948,1267
Koraput,84,67,6,157,1041,144,135,1320,1094,222,0,82,742,1235,27,139,3,169
Malkangiri,42,22,2,66,419,86,7,512,423,87,0,56,332,446,14,40,0,54
Mayurbhanj,206,53,52,311,1739,234,505,2478,1855,618,0,288,1785,2258,114,96,106,316
Nabarangpur,54,40,2,96,499,150,2,651,539,106,0,88,433,565,8,63,1,72
Nayagarh,100,44,0,144,936,355,160,1451,1173,277,0,119,935,1111,74,85,0,159
Nuapada,46,33,0,79,463,77,1,541,425,111,0,84,361,744,30,44,0,74
Puri,161,30,63,254,1580,137,498,2215,1672,548,0,146,1646,2055,106,49,157,312
Rayagada,73,44,2,119,524,62,28,614,522,90,0,44,359,572,36,93,1,130
Sambalpur,82,34,100,216,480,69,163,712,546,162,0,81,466,637,29,48,176,253
Subarnapur,53,31,3,87,609,112,57,778,686,84,0,44,573,733,18,77,1,96
Sundargarh,131,55,111,297,909,172,118,1199,865,331,0,118,892,1064,86,120,204,410
