district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,560.00,578.79,103.35,315.00,375.92,119.34,385.00,322.73,83.83,70.00,14.76,21.09,105.00,69.98,66.65,3500.00,4159.06,118.83
Balangir,376.41,362.39,96.28,211.73,143.43,67.74,258.78,189.78,73.34,47.05,8.93,18.99,70.58,34.77,49.27,2352.58,2182.65,92.78
Balasore,742.17,743.46,100.17,417.47,528.82,126.67,510.24,494.94,97.00,92.77,3.78,4.07,139.16,101.54,72.97,4638.55,5053.06,108.94
Bargarh,293.30,375.84,128.14,124.22,547.11,440.43,186.33,124.08,66.59,86.26,6.96,8.07,189.78,35.88,18.91,1725.30,3533.99,204.83
Bhadrak,300.04,271.84,90.60,168.77,30.31,17.96,206.27,22.00,10.66,37.50,5.89,15.71,56.26,62.02,110.24,1875.22,1719.35,91.69
Boudh,62.28,66.91,107.43,35.03,4.36,12.45,42.82,10.54,24.61,7.78,0.66,8.44,11.68,7.17,61.37,389.24,336.90,86.55
Cuttack,1449.26,1509.94,104.19,613.80,757.89,123.47,920.71,1103.76,119.88,426.25,11.28,2.65,937.76,396.11,42.24,8525.07,7838.53,91.95
Deogarh,29.66,34.01,114.66,16.69,0.00,0.00,20.39,0.33,1.61,3.71,2.30,62.07,5.56,8.64,155.26,185.40,192.06,103.59
Dhenkanal,200.06,153.61,76.78,112.54,16.29,14.48,137.54,19.62,14.26,25.01,7.29,29.13,37.51,45.30,120.76,1250.40,1045.16,83.59
Gajapati,77.61,51.34,66.16,32.87,2.30,7.00,49.30,3.21,6.52,22.82,0.68,3.00,50.21,19.06,37.97,456.50,384.20,84.16
Ganjam,1044.01,830.78,79.58,587.26,289.83,49.35,717.76,394.31,54.94,130.50,9.72,7.45,195.75,212.16,108.38,6525.08,5852.32,89.69
Jagatsinghpur,321.35,251.01,78.11,180.76,9.63,5.32,220.93,37.52,16.98,40.17,2.89,7.19,60.25,69.05,114.61,2008.44,1310.01,65.23
Jajpur,575.68,612.19,106.34,323.82,130.50,40.30,395.78,146.07,36.91,71.96,5.76,8.00,107.94,89.29,82.72,3598.00,2761.77,76.76
Jharsuguda,326.96,442.35,135.29,183.91,79.90,43.44,224.78,275.53,122.58,40.87,5.11,12.49,61.30,26.74,43.62,2043.50,2489.54,121.83
Kalahandi,233.59,313.43,134.18,131.40,59.49,45.28,160.59,68.58,42.70,29.20,2.11,7.22,43.80,25.66,58.58,1459.95,1809.03,123.91
Kandhamal,159.92,71.68,44.82,89.96,54.44,60.52,109.95,6.24,5.68,19.99,0.69,3.44,29.99,5.34,17.81,999.50,670.92,67.13
Kendrapara,202.42,133.35,65.87,113.86,15.68,13.77,139.17,17.04,12.24,25.30,3.35,13.24,37.95,43.90,115.66,1265.14,977.84,77.29
Keonjhar,401.60,618.31,153.96,225.90,133.15,58.94,276.10,177.56,64.31,50.20,5.17,10.29,75.30,67.59,89.77,2509.99,2894.09,115.30
Khordha,5095.20,5912.24,116.04,2866.05,3392.12,118.36,3502.95,4375.03,124.90,636.90,9.97,1.57,955.35,839.06,87.83,31845.00,26391.23,82.87
Koraput,481.94,298.56,61.95,271.09,76.45,28.20,331.33,121.19,36.58,60.24,2.59,4.30,90.36,60.26,66.68,3012.11,1893.62,62.87
Malkangiri,40.80,60.90,149.27,22.95,0.10,0.44,28.05,9.70,34.58,5.10,2.71,53.14,7.65,9.34,122.14,255.00,261.56,102.57
Mayurbhanj,312.59,323.52,103.50,175.83,354.95,201.87,214.91,45.06,20.97,39.07,18.23,46.66,58.61,75.66,129.08,1953.70,2902.49,148.56
Nabarangpur,84.12,97.40,115.79,47.32,3.09,6.54,57.83,19.98,34.55,10.52,0.71,6.79,15.77,14.01,88.82,525.76,589.87,112.19
Nayagarh,172.13,94.70,55.02,96.82,2.30,2.38,118.34,9.66,8.16,21.52,3.31,15.36,32.27,56.99,176.59,1075.80,884.93,82.26
Nuapada,78.01,58.82,75.40,43.88,1.35,3.08,53.63,5.71,10.65,9.75,1.24,12.67,14.63,6.08,41.56,487.59,435.98,89.41
Puri,414.82,222.58,53.66,233.34,8.89,3.81,285.19,103.24,36.20,51.85,5.38,10.38,77.78,115.16,148.05,2592.64,1819.11,70.16
Rayagada,182.84,152.76,83.55,102.84,59.93,58.27,125.70,26.15,20.81,22.85,2.65,11.58,34.28,25.80,75.26,1142.72,1285.54,112.50
Sambalpur,528.64,648.34,122.64,297.36,112.63,37.88,363.44,245.72,67.61,66.08,6.33,9.59,99.12,53.95,54.43,3304.00,2951.29,89.32
Subarnapur,132.40,42.40,32.03,56.08,12.24,21.83,84.11,15.57,18.51,38.94,4.04,10.37,85.67,15.28,17.83,778.84,498.56,64.01
Sundargarh,1568.42,1587.61,101.22,882.24,1639.38,185.82,1078.29,1664.35,154.35,196.05,14.90,7.60,294.08,68.26,23.21,9802.64,9482.57,96.73
