district,fy_2024_25_no_of_claims_settled,amount_in_rs,cumulative_no_of_claims_settled,amount_in_rs,no_of_pending_claims
Angul,505,101000000.00,1155,231000000.00,29
Balangir,221,44200000.00,957,191400000.00,22
Balasore,234,46800000.00,1048,209600000.00,18
Bargarh,411,82200000.00,1136,227200000.00,18
Bhadrak,95,19000000.00,413,82600000.00,16
Boudh,59,11800000.00,270,54000000.00,4
Cuttack,326,65200000.00,1502,300400000.00,40
Deogarh,39,7800000.00,175,35000000.00,2
Dhenkanal,496,99200000.00,1500,300000000.00,14
Gajapati,80,16000000.00,253,50600000.00,4
Ganjam,426,85200000.00,1979,395800000.00,24
Jagatsinghpur,144,28800000.00,487,97400000.00,12
Jajpur,205,41000000.00,825,165000000.00,11
Jharsuguda,111,22200000.00,391,78200000.00,4
Kalahandi,186,37200000.00,678,135600000.00,9
Kandhamal,110,22000000.00,342,68400000.00,11
Kendrapara,78,15600000.00,349,69800000.00,6
Keonjhar,192,38400000.00,700,140000000.00,21
Khordha,241,48200000.00,1008,201600000.00,17
Koraput,97,19400000.00,434,86800000.00,11
Malkangiri,60,12000000.00,255,51000000.00,7
Mayurbhanj,337,67400000.00,1295,259000000.00,37
Nabarangpur,121,24200000.00,496,99200000.00,4
Nayagarh,188,37600000.00,798,159600000.00,9
Nuapada,135,27000000.00,435,87000000.00,8
Puri,188,37600000.00,851,170200000.00,21
Rayagada,161,32200000.00,621,124200000.00,10
Sambalpur,279,55800000.00,824,164800000.00,13
Subarnapur,107,21400000.00,426,85200000.00,9
Sundargarh,378,75600000.00,1212,242400000.00,5
