District,Housing Loan (PS) O/S No.,Amt,Housing Loan (NPS) O/S No.,Rural Housing Loan O/S No.,Housing Loan Eligibleunder PMAY O/S No.,Current Year Disbursed under PMAY No.,PMAY O/S No.
Bishnupur,423,0,328,0,0,0,0
Chandel,58,0,77,81,0,0,0
Churachandpur,329,0,1110,676,0,0,0
Imphal East,1271,971.43,644,380,88,0,89
Imphal West,3017,614,3488,181,58,0,58
Jiribam,3,0,7,0,0,0,0
Kakching,121,0,250,5,0,0,0
Kamjong,0,0,0,0,0,0,0
Kangpokpi,59,0,256,174,0,0,0
Noney,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0
Senapati,142,0,463,349,0,0,0
Tamenglong,9,0,7,0,0,0,0
Tengnoupal,50,0,62,61,0,0,0
Thoubal,391,204.22,530,71,10,0,11
Ukhrul,12,0,9,0,0,0,0
