district,Bank Name,CY SANCTION,CY DISBURSED,PMEGP O/S,PMEGP NPA,PMEGP NPA
Bishnupur,,1,2,647,59.1,59.1
Chandel,,3,4,278,49.4,49.4
Churachandpur,,18,20,437,43.18,43.18
Imphal East,,12,37,823,26.5,26.5
Imphal West,,11,32,1343,42.6,42.6
Jiribam,,0,0,20,37.57,37.57
Kakching,,1,9,254,51.55,51.55
Kamjong,,0,0,42,70.58,70.58
Kangpokpi,,1,4,288,33.3,33.3
Noney,,0,0,38,62.16,62.16
Pherzawl,,0,0,0,0,0
Senapati,,1,3,642,48.22,48.22
Tamenglong,,0,4,205,43.17,43.17
Tengnoupal,,0,0,98,59.94,59.94
Thoubal,,5,5,525,35.67,35.67
Ukhrul,,1,12,363,50.93,50.93
