District,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,90,576.43,0,3,0,159,62,0,0,41,355
Chandel,108,66.32,0,0,0,12,1,0,0,0,121
Churachandpur,152,347.13,0,4,0,143,12,0,0,11,322
Imphal East,55,1250.24,0,16,84,382,16,0,0,181,734
Imphal West,148,2141.5,0,13,0,635,38,0,0,185,1019
Jiribam,2,5.55,0,0,0,0,0,0,0,1,3
Kakching,181,254.08,0,0,0,16,90,0,0,7,294
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,39,75.27,0,3,0,9,0,0,0,8,59
Noney,1,20.31,0,0,0,0,0,0,0,13,14
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,86,46.21,0,1,8,1,0,0,0,2,98
Tamenglong,28,36.72,0,0,0,1,0,0,0,5,34
Tengnoupal,43,37.67,0,0,0,1,1,0,0,1,46
Thoubal,68,1221.97,0,4,11,518,7,0,0,130,738
Ukhrul,8,15.27,0,0,0,6,1,0,0,1,16
