District,BHIM/Up I A/C,BHIM/Up I Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,264756,17023.96,706884,14418.23,616,55.39,21532,58005.67,86976,5203.12,15100,377.15
Chandel,76,59.07,282779,5153.15,40,3.81,2938,273.9,9527,395.78,8024,199.08
Churachandpur,561256,27075.26,1532990,28137.47,853,123.21,35314,98019.72,102093,5742.03,36238,758.46
Imphal East,1404635,82240.08,1334350,27001.16,4096,415.36,145478,259082.7,221997,17257.17,29495,728.21
Imphal West,4035860,169062.8,3900122,89256.08,7485,975.02,243235,596334.7,676701,157684.8,109092,3002.4
Jiribam,392156,10189.86,93140,1345.76,0,0,17470,1729.87,35644,1729.36,1004,22.63
Kakching,201286,19230.41,537965,10936.02,813,91.25,15539,127359,47616,2585.71,13109,300.77
Kamjong,0,0,49231,1011.77,0,0,0,0,68,1.52,771,13.94
Kangpokpi,107955,2787.41,727392,12703.47,7,4.06,5073,661.88,11224,443.64,17574,426.48
Noney,6683,269.32,83932,1915.75,0,0,1,0,1330,46.06,1302,42.73
Pherzawl,12,11.99,12,11.99,0,0,3,0.08,0,0,0,0
Senapati,202684,13311.91,1057670,18424.45,498,33.74,14489,57899.95,34908,1973.42,19450,485.85
Tamenglong,328424,8386.39,28568,527.27,0,0,6670,794.95,48724,2483.76,274,9.05
Tengnoupal,36942,5179.33,252509,5198.16,163,16.68,3343,87116.31,14884,838.19,6628,168.48
Thoubal,657586,31724.71,844852,19461.97,1051,167,32588,51692.95,70659,4288.26,16188,414.32
Ukhrul,262653,7321.72,537228,10038.18,2,0.66,14186,1857.38,85078,5088.97,9579,193.59
