District,Sishu No.,Sishuamt,Kishoreno,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Bishnupur,232,83.73,80,143.76,37,221.3,349,448.79
Chandel,0,0,8,15.18,3,17.98,11,33.16
Churachandpur,3,0.51,48,127.11,18,145.39,69,273.01
Imphal East,576,216.02,170,296.59,51,209.16,797,721.77
Imphal West,459,160.17,295,576.6,108,540.53,862,1277.3
Jiribam,30,10.6,15,13.2,0,0,45,23.8
Kakching,49,17.75,87,110.49,18,55.28,154,183.52
Kamjong,0,0,1,1.9,0,0,1,1.9
Kangpokpi,1,0,34,95.62,3,23.5,38,119.12
Noney,0,0,15,26.25,0,0,15,26.25
Pherzawl,0,0,0,0,0,0,0,0
Senapati,5,9.04,60,138.67,14,105.91,79,253.62
Tamenglong,2,1,16,26.04,1,8,19,35.04
Tengnoupal,0,0,11,28.91,0,0,11,28.91
Thoubal,604,235.09,69,77.53,10,65.88,683,378.5
Ukhrul,1,0.49,16,35,8,51.47,25,86.96
