District,Sep-I,Sep-G,Sep-G No. of Beneficiary,SHG,SHG No. of Beneficiary,Women SHG,Women SHG No. of Beneficiary,Total Current Year NULM,NULM O/S,NULM NPA,NULM NPA Amt. %
Bishnupur,0,0,0,0,0,0,0,0,17,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,4,4,100
Imphal East,0,0,0,0,0,0,0,0,17,1,20.05
Imphal West,3,0,0,0,0,0,0,3,54,9,10.95
Jiribam,0,0,0,0,0,0,0,0,7,2,40.52
Kakching,0,0,0,0,0,0,0,0,14,9,42.48
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,4,1,51.33
Tamenglong,0,0,0,0,0,0,0,0,4,3,85.19
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,65,2,2.57
Ukhrul,0,0,0,0,0,0,0,0,21,15,86.36
