District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,OS No.,ofwhichgirlstudent OS No.,OS amt,ofwhichgirlstudent OS Amt
Bishnupur,1,0,0.89,0,0,0,0,0,22,6,73.86,13.93
Chandel,0,0,0,0,0,0,0,0,6,4,19.78,13.59
Churachandpur,1,0,1.29,1.29,1,1,1,1,38,21,216.38,164.07
Imphal East,4,3,8.53,4.64,3,0,1.83,0,122,57,601.84,305.84
Imphal West,44,9,248.59,46.38,46,19,91.31,27.25,621,271,3262.1,1710.54
Jiribam,0,0,0,0,0,0,0,0,1,1,0.55,0.55
Kakching,0,0,0,0,3,0,2.12,0,23,9,68.16,25.94
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,1,0,3.39,0,19,12,133.21,82.9
Noney,0,0,0,0,0,0,0,0,1,1,5.71,5.71
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,55,27,236.08,113.06
Tamenglong,0,0,0,0,2,2,0.3,0.3,9,7,22.7,15.85
Tengnoupal,0,0,0,0,0,0,0,0,5,1,21.75,34.75
Thoubal,25,7,77.42,19.14,4,2,4.62,1.37,58,19,223.76,84.72
Ukhrul,0,1,0,0,0,0,0,0,6,2,13,6.18
