District,Current Year No. of Female Account,Current Year Sumof Female Amt,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Amt. %
Bishnupur,1,14.6,0,0,0,0,1,14.6,2,53.79,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,3,3,0,0,8,185.5,11,188.5,31,613.21,3,73.46,11.98
Imphal East,11,171.96,6,5.31,4,16.76,21,194.03,50,592.15,5,70.27,11.87
Imphal West,20,187.69,8,123.01,4,15.29,32,325.99,92,1443.18,26,316.96,21.96
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,13,125.62,2,10.44,8.31
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,6,119.73,1,18,15.03
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,17,0,0,0,0,1,17,27,454.88,1,10.82,2.38
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,16,101.87,0,0,0,0,16,101.87,19,126.46,9,61.26,48.44
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
