District,No. of KCC issuedduringquarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amt,Numberofrupaycard Issued,KCC Cardactivated,No. of KCC foranimalhusbandaryissuedduringquarter (Including renewal),KCC foranimalhusbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount,AH Numberofrupaycard Issued,AH Cardactivated,No. of KCC for Fishriesissuedduringquarter (including renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Numberofrupaycard Issued,Fishery Cardactivated
Bishnupur,36,52.25,5118,2691.3,4642,4628,11,10.3,333,283.39,244,243,1,6.7,188,191.6,144,144
Chandel,0,0,100,69.68,3,2,4,2.67,108,84.24,7,7,0,0,3,2.89,0,0
Churachandpur,43,39.38,2063,1269.86,1580,1161,0,0,248,312.73,101,101,0,0,25,47.26,3,3
Imphal East,176,161.35,3816,2962.1,2524,2450,18,19.69,615,447.42,549,548,0,1.2,15,25.8,9,9
Imphal West,110,266.69,13048,10711.93,5160,4699,16,10.63,737,593.11,601,599,0,0,63,74.22,34,34
Jiribam,0,0,74,34.58,20,20,0,0,12,10.29,8,8,0,0,6,5.49,0,0
Kakching,41,30.17,1034,995.53,907,870,35,23.78,374,286.35,226,224,4,5.45,182,278.4,73,73
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,18,12.89,912,536.83,642,510,7,5.57,72,50.83,40,40,0,0,13,9.18,12,12
Noney,14,21.23,239,201.86,176,176,1,0.81,5,3.2,4,4,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,97,54.23,1631,952.09,692,543,16,5.14,86,35.97,8,8,0,0,7,1.31,0,0
Tamenglong,5,12.1,126,94.59,14,14,3,6.05,48,54.5,0,0,2,3,10,12.73,0,0
Tengnoupal,0,0,189,93.74,116,108,3,3.1,88,62.2,34,32,0,0,3,8.01,2,2
Thoubal,137,131.86,3081,1863.32,2568,2523,60,50.84,389,294.63,331,313,2,2.3,79,85.6,30,30
Ukhrul,4,5.62,443,346,140,139,0,0,29,33.81,18,18,0,0,1,1.1,0,0
