District,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,300,3935,0,18,20,521,479,0,0,791,2129
Chandel,108,122.98,0,0,0,15,1,0,0,2,126
Churachandpur,420,2950.97,0,113,11,680,139,0,0,504,1867
Imphal East,471,7077.06,9,83,553,1509,148,0,0,1241,4014
Imphal West,823,13447.94,9,174,80,2828,370,0,2,1583,5869
Jiribam,24,26.89,0,0,0,1,0,0,0,2,27
Kakching,419,1587.24,0,22,3,27,226,0,0,203,900
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,106,376.02,0,13,0,32,1,0,0,148,300
Noney,1,104.31,0,0,0,0,0,0,0,77,78
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,87,165.06,0,3,61,11,2,0,0,37,201
Tamenglong,77,174.51,0,11,2,19,3,0,0,101,213
Tengnoupal,54,74.79,0,0,0,1,1,0,0,24,80
Thoubal,275,5939.07,0,32,131,1872,230,0,0,931,3471
Ukhrul,22,348.25,0,8,0,19,1,0,0,218,268
