District,Agriculture (NPS) No.,Amt,Msme (NPS) No.,Exp Credit (NPS) No.,Education (NPS) No.,Housing (NPS) No.,Personal Loans under NPS No.,Others NPS No.,NPS Total No.
Bishnupur,3,2837.43,20,0,0,38,258,992,1311
Chandel,1,649.21,0,0,0,16,97,33,147
Churachandpur,0,6376.05,3,0,0,104,587,1779,2473
Imphal East,0,9647.15,25,0,1,87,766,2117,2996
Imphal West,0,36576.19,42,0,6,269,3442,5500,9259
Jiribam,0,305.41,4,0,0,2,26,24,56
Kakching,0,1372.69,19,0,0,24,171,105,319
Kamjong,0,111.61,0,0,0,0,15,2,17
Kangpokpi,0,1444.06,0,0,1,21,200,21,243
Noney,0,87.21,0,0,0,0,14,2,16
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,3,3035.23,17,0,0,19,355,417,811
Tamenglong,0,570.51,5,0,0,0,67,41,113
Tengnoupal,0,941.74,2,0,0,8,127,24,161
Thoubal,0,5219.93,7,0,0,33,445,1634,2119
Ukhrul,0,1092.39,13,0,0,0,115,86,214
