district,Micro No,Amt,Small No,Amt,Medium No,Amt,Other MSME No,Amt,MSME Total O/S No,Amt
Bishnupur,3645,6059.74,163,6059.74,0,6059.74,216,6059.74,4024,6059.74
Chandel,528,694.11,77,694.11,0,694.11,1,694.11,606,694.11
Churachandpur,2387,9823.15,343,9823.15,2,9823.15,72,9823.15,2804,9823.15
Imphal East,8807,21543.02,427,21543.02,57,21543.02,66,21543.02,9357,21543.02
Imphal West,17998,102494.96,1467,102494.96,52,102494.96,2288,102494.96,21805,102494.96
Jiribam,84,218.62,24,218.62,0,218.62,0,218.62,108,218.62
Kakching,2126,5050.26,425,5050.26,2,5050.26,0,5050.26,2553,5050.26
Kamjong,83,121.56,4,121.56,0,121.56,0,121.56,87,121.56
Kangpokpi,1364,3391.2,39,3391.2,0,3391.2,6,3391.2,1409,3391.2
Noney,405,490.93,0,490.93,0,490.93,5,490.93,410,490.93
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,1849,6045.63,216,6045.63,0,6045.63,108,6045.63,2173,6045.63
Tamenglong,521,905.47,38,905.47,0,905.47,0,905.47,559,905.47
Tengnoupal,1048,1536.02,191,1536.02,0,1536.02,9,1536.02,1248,1536.02
Thoubal,5050,10963.96,180,10963.96,2,10963.96,208,10963.96,5440,10963.96
Ukhrul,1018,1918.79,64,1918.79,4,1918.79,4,1918.79,1090,1918.79
