district,Dep Rural,Dep Semi- Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi- Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Bishnupur,1849.59,37750.28,0,39599.87,3097.3,58029.26,3611.27,64737.83,167.46,153.72,,163.48
Chandel,12131.19,0,0,12131.19,17667.78,30.94,223.01,17921.73,145.64,,,147.73
Churachandpur,98817.51,6054.1,0,104871.6,85250.46,6225.53,12938.66,104414.7,86.27,102.83,,99.56
Imphal East,113475,11772.36,50832.49,176079.8,88054.5,5467.57,50216.49,143738.6,77.6,46.44,98.79,81.63
Imphal West,31056.86,44136.8,872479.1,947672.7,24955.62,57279.54,523681.5,605916.6,80.35,129.78,60.02,63.94
Jiribam,11400.88,135.03,0,11535.91,4577.78,155.45,0,4733.23,40.15,115.12,,41.03
Kakching,1276.4,22377.98,0,23654.38,1196,35353.19,0,36549.19,93.7,157.98,,154.51
Kamjong,1088.91,0,0,1088.91,1808,0,0,1808,166.04,,,166.04
Kangpokpi,29980.64,0,0,29980.64,31066.85,0,0,31066.85,103.62,,,103.62
Noney,5599.37,0,0,5599.37,4032.87,0,0,4032.87,72.02,,,72.02
Pherzawl,2.47,0,0,2.47,0,0,0,0,0,,,0
Senapati,49691.59,108.9,0,49800.49,46658.91,637.38,377.67,47673.96,93.9,585.29,,95.73
Tamenglong,668.25,12683.05,0,13351.3,268.56,6860.83,315.26,7444.65,40.19,54.09,,55.76
Tengnoupal,6052.93,7950.4,0,14003.33,13121.35,5390.5,0,18511.85,216.78,67.8,,132.2
Thoubal,7570.64,43100.1,0,50670.74,10112.96,70061.09,4671.45,84845.5,133.58,162.55,,167.44
Ukhrul,1154.85,25012.92,0,26167.77,1509.29,17507.53,225.46,19242.28,130.69,69.99,,73.53
