District,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zorastrians No.,Jains No.,Tot Loanto Minority O/S No.
Bishnupur,786,5006.8,658,2,37,0,2,1485
Chandel,3438,14988.91,44,3,0,0,0,3485
Churachandpur,12607,65684.51,1230,27,13,0,1,13878
Imphal East,2565,18726.34,2849,10,41,0,5,5470
Imphal West,16003,75359.75,4779,24,91,1,26,20924
Jiribam,397,1101.68,974,2,1,0,0,1374
Kakching,1051,4129.19,226,1,57,0,0,1335
Kamjong,180,755.43,7,0,0,0,0,187
Kangpokpi,4807,20880.79,258,3,11,0,0,5079
Noney,1065,2162.47,6,0,3,0,0,1074
Pherzawl,157,800.49,2,1,0,0,0,160
Senapati,7930,34571.22,325,4,9,0,0,8268
Tamenglong,1942,6809.87,16,2,1,0,0,1961
Tengnoupal,2755,9858.01,134,5,3,0,0,2897
Thoubal,624,11362.82,3879,1,7,2,2,4515
Ukhrul,4002,15125.2,24,2,3,1,0,4032
