district,Current Year Self-Help Group No.,Current Year Self-Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Bishnupur,5,5.7,43,31.74,0,0,16,6.59,20.76
Chandel,0,0,2,0.07,0,0,2,0.07,100
Churachandpur,54,23.11,214,117.49,9,6.8,91,19.53,16.62
Imphal East,241,147.03,982,1001.76,15,16.14,35,17.32,1.73
Imphal West,118,146.75,458,429.73,3,1.05,10,4.55,1.06
Jiribam,0,0,11,5.34,0,0,0,0,0
Kakching,0,0,85,82.86,0,0,2,0.51,0.62
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,11,16.5,11,14.3,0,0,0,0,0
Noney,0,0,18,10.05,0,0,16,8.5,84.58
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,1,1,16,13.4,2,0.38,1,0.48,3.58
Tamenglong,0,0,4,0.71,0,0,4,0.71,100
Tengnoupal,25,73.88,180,228.27,8,12.59,2,1.4,0.61
Thoubal,162,133.93,560,671.39,2,0.25,85,60.69,9.04
Ukhrul,0,0,3,1.53,0,0,1,0.11,7.19
