district,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Amt %,Total MSME (PS) O/S,Tot MSME (PS) NPA,MSME NPA Amt %,Total Other PS O/S,Tot Other (PS) NPA,OTHER(P S) NPA Amt %,Total PS O/S,Total PSA NPA,TOTAL PSA NPA Amt %
Bishnupur,10287,1401,12.08,4024,1645,27.2,4534,260,3.98,18845,3306,14.37
Chandel,234,106,50.74,606,164,16.36,77,6,0.8,917,276,12.97
Churachandpur,4552,1300,19,2804,988,18.31,608,101,2.48,7964,2389,15.01
Imphal East,9634,1769,15.37,9357,2096,15.88,12709,347,3.86,31700,4212,12.9
Imphal West,22880,11245,21.59,21805,6633,17.62,12610,469,3.88,57295,18347,16.37
Jiribam,234,14,2.2,108,29,12.55,2603,24,0.64,2945,67,3.33
Kakching,4008,946,16.82,2553,797,13.85,3426,113,2.76,9987,1856,12.67
Kamjong,7,5,86.48,87,0,0,0,0,,94,5,9.38
Kangpokpi,1255,212,9.44,1409,334,17.8,162,13,3.42,2826,559,13.21
Noney,640,214,22.24,410,120,21.93,3,0,0,1053,334,20.82
Pherzawl,0,0,,0,0,,0,0,,0,0,
Senapati,2186,590,21.59,2173,526,15.71,399,56,2.48,4758,1172,13.95
Tamenglong,314,136,30.72,559,178,20.27,16,0,0,889,314,20.63
Tengnoupal,765,141,13.04,1248,338,27.07,58,1,0.59,2071,480,17.02
Thoubal,7839,933,10.19,5440,1818,19.95,9783,436,3.31,23062,3187,12.29
Ukhrul,828,375,39.88,1090,395,32.37,250,50,7.57,2168,820,32.53
