District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,18,22.7,769,1786.29,25,100.24,390,1742.75
Chandel,1,2.85,29,144.74,6,9.68,393,895.96
Churachandpur,3,0.03,125,622.9,163,9801671.54,5846,20924.39
Imphal East,7,17.29,323,762.12,27,6086288.6,1186,6326.93
Imphal West,80,207.39,1396,4017.24,159,25595925.5,11112,26405.9
Jiribam,7,14.9,265,180.65,7,8.85,393,446.87
Kakching,107,490.24,4871,9388.61,24,48.69,643,1447.64
Kamjong,0,0,3,18.3,0,0,14,29.38
Kangpokpi,5,11.86,158,698.97,32,4751778.28,1462,3021.35
Noney,0,0,11,36.86,5,8.93,835,915.84
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,0,53,225.82,53,235,1817,4069.8
Tamenglong,1,5,10,25.41,78,486.38,1704,6075.92
Tengnoupal,2,1.36,69,317.99,3,200014.92,1380,2553.2
Thoubal,15,69.56,324,865.79,13,39.87,321,977.69
Ukhrul,0,0,17,93.78,42,293.53,2714,7364.38
