district,Sishu O/S No,Amt,Sishu NPA No,Amt,Kishore O/S No,Amt,Kishore NPA No,Amt,Tarun O/S No,Amt,Tarun NPA No,Amt,Total MUDRA O/S No,Amt,Total MUDRA NPA No,Amt,MUDRA NPA Amt.%
Bishnupur,4079,937.33,763,937.33,3912,937.33,579,937.33,228,937.33,10,937.33,8219,937.33,1352,937.33,13.97
Chandel,269,320.49,96,320.49,358,320.49,189,320.49,10,320.49,5,320.49,637,320.49,290,320.49,45.31
Churachandpur,1175,985.46,426,985.46,1696,985.46,440,985.46,295,985.46,38,985.46,3166,985.46,904,985.46,19.86
Imphal East,12633,1718.67,1206,1718.67,6424,1718.67,569,1718.67,665,1718.67,137,1718.67,19722,1718.67,1912,1718.67,12.58
Imphal West,13952,5143.19,2807,5143.19,8796,5143.19,1554,5143.19,1681,5143.19,438,5143.19,24429,5143.19,4799,5143.19,21.49
Jiribam,1230,40.16,52,40.16,2089,40.16,33,40.16,11,40.16,1,40.16,3330,40.16,86,40.16,3.48
Kakching,2578,740.58,550,740.58,3806,740.58,390,740.58,109,740.58,9,740.58,6493,740.58,949,740.58,15.48
Kamjong,73,56.08,55,56.08,51,56.08,33,56.08,2,56.08,0,56.08,126,56.08,88,56.08,53.64
Kangpokpi,342,601.75,81,601.75,590,601.75,212,601.75,123,601.75,30,601.75,1055,601.75,323,601.75,27.2
Noney,134,153.56,69,153.56,623,153.56,110,153.56,7,153.56,0,153.56,764,153.56,179,153.56,17.31
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,475,1142.1,170,1142.1,1623,1142.1,633,1142.1,277,1142.1,31,1142.1,2375,1142.1,834,1142.1,23.11
Tamenglong,111,142.66,38,142.66,423,142.66,92,142.66,35,142.66,3,142.66,569,142.66,133,142.66,17.55
Tengnoupal,373,400.35,90,400.35,1229,400.35,238,400.35,39,400.35,15,400.35,1641,400.35,343,400.35,21.46
Thoubal,9365,1048.1,1070,1048.1,4693,1048.1,421,1048.1,356,1048.1,32,1048.1,14414,1048.1,1523,1048.1,10.83
Ukhrul,171,526.2,64,526.2,782,526.2,282,526.2,69,526.2,19,526.2,1022,526.2,365,526.2,33.18
