District,Education (PS) Target No.,Amt,Education (PS) Achieved No.,Housing (PS)Target No.,Housing (PS)Achieved No.,Social Infrastructure Target No.,Renewable Energy Target No.,Renewable Energy Achieved No.,Informal Credit Target No.,Informal Credit Achived No.,Other PS Total Target No.,Other PS Total Achieved No.,Ach Pct Amt
Imphal East,75,681.33,4,370,168,43,25,0,0,547,513,719,14.11
Imphal West,71,1084.1,64,748,242,45,17,1,128,380,1009,687,13.58
Bishnupur,20,113.23,0,111,18,20,20,0,0,159,171,177,8.92
Thoubal,96,322.93,4,199,12,163,116,0,178,567,752,583,6.18
Kakching,41,36.9,2,83,2,0,0,0,39,1,163,5,1.99
Chandel,20,6,0,7,1,2,0,0,14,0,43,1,1.78
Churachandpur,42,57.65,1,85,6,63,21,0,84,1,295,8,1.74
Senapati,64,0.71,0,97,0,49,0,0,125,2,335,2,0.06
Jiribam,8,0,0,11,0,8,8,0,35,0,70,0,0.00
Kamjong,2,0,0,0,0,1,0,0,0,0,3,0,0.00
Kangpokpi,29,0,0,85,0,22,0,0,78,0,214,0,0.00
Noney,10,0,0,0,0,9,9,0,0,0,28,0,0.00
Pherzawl,,0,0,,0,,,0,,0,,0,0.00
Tamenglong,0,8.3,2,0,1,0,0,0,0,0,0,3,0.00
Tengnoupal,13,0,0,24,0,12,12,0,0,0,61,0,0.00
Ukhrul,0,0,0,0,0,0,92,0,15,0,107,0,0.00
