District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt Depositsheldinthe A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,88184,55592,56587,87168,143755,10290,2666.49,88469,51478,100874
Chandel,13276,0,6026,7247,13273,914,376.62,12775,6825,8347
Churachandpur,91665,3746,43475,51926,95401,4670,3150.52,74831,39371,58697
Imphal East,93026,46215,55710,83515,139225,7271,2907.94,91608,46534,96574
Imphal West,50019,199185,100019,149141,249160,18065,5684.46,186729,94799,185054
Jiribam,19363,0,8325,11038,19363,47,537.4,15468,7449,16925
Kakching,27503,47670,31927,43241,75168,3414,1091.15,53685,26463,53552
Kamjong,2294,0,1147,1146,2293,59,92.29,2497,1472,900
Kangpokpi,28861,1182,14528,15510,30038,5390,732.75,21246,13855,15618
Noney,10009,0,5257,4751,10008,420,665.51,8020,4988,5924
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,39359,0,18159,21108,39267,706,1721.49,42661,18603,20614
Tamenglong,4108,21651,13751,12008,25759,1629,498.51,27231,9737,15124
Tengnoupal,10877,6342,7735,9478,17213,736,602.37,17874,8098,12336
Thoubal,63204,69888,56523,76565,133088,13764,2227.5,82729,41099,84836
Ukhrul,5554,66001,36274,35278,71552,1565,2300.2,63983,18569,32848
