district,Export Credit No,Amt,Education (PS) No,Amt,Housing (PS) No,Amt,Social Infrastructure No,Amt,Renewable Energy No,Amt,Informal Credit No,Amt,Total Other PS Disb No,Amt,Loans to weaker No,Amt
Bishnupur,0,1239.14,0,1239.14,18,1239.14,0,1239.14,0,1239.14,159,1239.14,177,1239.14,855,1239.14
Chandel,0,18.92,0,18.92,1,18.92,0,18.92,0,18.92,0,18.92,1,18.92,14,18.92
Churachandpur,0,1440.01,1,1440.01,6,1440.01,0,1440.01,0,1440.01,1,1440.01,8,1440.01,469,1440.01
Imphal East,0,1933.71,4,1933.71,168,1933.71,0,1933.71,0,1933.71,547,1933.71,719,1933.71,1456,1933.71
Imphal West,0,6146.15,64,6146.15,242,6146.15,0,6146.15,1,6146.15,380,6146.15,687,6146.15,2715,6146.15
Jiribam,0,37.46,0,37.46,0,37.46,0,37.46,0,37.46,0,37.46,0,37.46,40,37.46
Kakching,0,842.98,2,842.98,2,842.98,0,842.98,0,842.98,1,842.98,5,842.98,367,842.98
Kamjong,0,4.57,0,4.57,0,4.57,0,4.57,0,4.57,0,4.57,0,4.57,2,4.57
Kangpokpi,0,92.81,0,92.81,0,92.81,0,92.81,0,92.81,0,92.81,0,92.81,154,92.81
Noney,0,31.21,0,31.21,0,31.21,0,31.21,0,31.21,0,31.21,0,31.21,24,31.21
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,528.49,0,528.49,0,528.49,0,528.49,0,528.49,2,528.49,2,528.49,347,528.49
Tamenglong,0,494.82,2,494.82,1,494.82,0,494.82,0,494.82,0,494.82,3,494.82,88,494.82
Tengnoupal,0,83.86,0,83.86,0,83.86,0,83.86,0,83.86,0,83.86,0,83.86,30,83.86
Thoubal,0,1689.16,4,1689.16,12,1689.16,0,1689.16,0,1689.16,567,1689.16,583,1689.16,1530,1689.16
Ukhrul,0,320.19,0,320.19,0,320.19,0,320.19,0,320.19,0,320.19,0,320.19,88,320.19
