district,Bank Name,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bishnupur,BOB,28,56.73,189,356.18
Chandel,BOI,0,0,1,0.85
Churachandpur,BOM,0,0,19,46.64
Imphal East,CAN,93,236.4,2210,2058.7
Imphal West,CBI,101,185.08,1875,1381.55
Jiribam,IND,0,0,0,0
Kakching,IOB,0,0,52,48.21
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,0,0,11,10.22
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,2,3.56,32,49.4
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,0,0,0,0
Thoubal,BAND,97,242.29,1035,1414.43
Ukhrul,HDFC,2,0.63,8,19.93
