district,NRLM O/S No,Amt,NRLM Irregular No,Amt,NRLM NPA No,Amt,NULM O/S No,Amt,NULM NPA No,Amt,PMEGP O/S No,Amt,PMEGP NPA No,Amt,SHG O/S No,Amt,SHG NPA No,Amt,SUI O/S No,Amt,SUI NPA No,Amt
Bishnupur,43,0,0,0,16,0,17,0,0,0,647,0,376,0,296,0,48,0,2,0,0,0
Chandel,2,0,0,0,2,0,0,0,0,0,278,0,152,0,2,0,2,0,0,0,0,0
Churachandpur,214,73.46,9,73.46,91,73.46,4,73.46,4,73.46,437,73.46,219,73.46,172,73.46,97,73.46,31,73.46,3,73.46
Imphal East,982,70.27,15,70.27,35,70.27,17,70.27,1,70.27,823,70.27,342,70.27,359,70.27,42,70.27,50,70.27,5,70.27
Imphal West,458,317,3,317,10,317,54,317,9,317,1343,317,686,317,342,317,91,317,92,317,26,317
Jiribam,11,0,0,0,0,0,7,0,2,0,20,0,5,0,50,0,1,0,0,0,0,0
Kakching,85,10.44,0,10.44,2,10.44,14,10.44,9,10.44,254,10.44,135,10.44,158,10.44,18,10.44,13,10.44,2,10.44
Kamjong,0,0,0,0,0,0,0,0,0,0,42,0,28,0,0,0,0,0,0,0,0,0
Kangpokpi,11,18,0,18,0,18,0,18,0,18,288,18,106,18,38,18,25,18,6,18,1,18
Noney,18,0,0,0,16,0,0,0,0,0,38,0,26,0,46,0,16,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,16,10.82,2,10.82,1,10.82,4,10.82,1,10.82,642,10.82,354,10.82,86,10.82,1,10.82,27,10.82,1,10.82
Tamenglong,4,0,0,0,4,0,4,0,3,0,205,0,109,0,12,0,6,0,0,0,0,0
Tengnoupal,180,0,8,0,2,0,0,0,0,0,98,0,63,0,64,0,2,0,0,0,0,0
Thoubal,560,61.26,2,61.26,85,61.26,65,61.26,2,61.26,525,61.26,242,61.26,319,61.26,53,61.26,19,61.26,9,61.26
Ukhrul,3,0,0,0,1,0,21,0,15,0,363,0,202,0,123,0,103,0,0,0,0,0
