District,Export No.,Amt,Education PS No.,Housing PS No.,Social Infra No.,Renewable No.,Other PS No.,OPS Total O/S No.
Bishnupur,0,5162.93,22,433,0,0,4079,4534
Chandel,0,794.94,6,58,0,0,13,77
Churachandpur,0,4256.51,70,365,0,0,173,608
Imphal East,0,10406.9,116,1355,1,0,11237,12709
Imphal West,0,28877.9,572,3245,3,1,8789,12610
Jiribam,0,682.16,1,3,0,0,2599,2603
Kakching,0,3054.25,23,133,1,0,3269,3426
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,0,1065.54,15,77,0,0,70,162
Noney,0,68.24,1,2,0,0,0,3
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,2260.02,54,142,0,0,203,399
Tamenglong,0,109.87,9,7,0,0,0,16
Tengnoupal,0,716.4,5,51,0,0,2,58
Thoubal,0,6995.44,54,390,0,0,9339,9783
Ukhrul,0,279.61,6,12,0,0,232,250
