district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillaryy No,Ancillaryy Amt,Agri Total O/S No.,Agri Total O/S Amount
Bishnupur,5951,4139.66,3561,6026.92,5,13.94,770,370.93,10287,10551.45
Chandel,187,132.94,29,33.46,0,0,18,27.35,234,193.75
Churachandpur,2918,3159.16,1557,1852.63,2,7.66,75,246.78,4552,5266.23
Imphal East,3833,4254.37,4487,6070.38,14,10.55,1300,1832.23,9634,12167.53
Imphal West,14640,16043.42,6781,14467.66,56,409.27,1403,13531.02,22880,44451.37
Jiribam,70,24.02,91,47.74,1,0.36,72,90.74,234,162.86
Kakching,1045,1297.04,2624,4279.61,9,6.38,330,285.84,4008,5868.87
Kamjong,0,0,0,0,0,0,7,14.79,7,14.79
Kangpokpi,1053,983.46,166,274.66,0,0,36,97.42,1255,1355.54
Noney,169,99.59,441,439.73,0,0,30,77.72,640,617.04
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,1795,1425.55,272,368.81,1,1.42,118,202.33,2186,1998.11
Tamenglong,170,111.5,117,109.18,0,0,27,36.88,314,257.56
Tengnoupal,218,138.43,523,716.92,1,20.76,23,41.86,765,917.97
Thoubal,3414,2908.16,3849,6301.08,9,9.41,567,850.36,7839,10069.01
Ukhrul,498,512.67,281,380.1,1,6.5,48,92.29,828,991.56
