District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY,Total Enrolment No.
Bishnupur,14766,100889,3454,15523,149753,8903,2172,32461
Chandel,8113,21062,1934,5911,33708,4988,264,14288
Churachandpur,32218,134100,7712,30250,203509,22415,2440,64908
Imphal East,29431,137266,7237,41586,201329,25398,6072,77089
Imphal West,95611,524393,29661,157244,794282,58937,16543,269398
Jiribam,2525,30076,782,1943,39368,391,417,4885
Kakching,16549,75263,3277,17237,112358,11687,1957,35743
Kamjong,946,2316,322,716,4125,700,48,1710
Kangpokpi,28564,32156,7028,13004,52164,11391,1354,42922
Noney,1759,5196,411,1495,7545,1015,192,3446
Pherzawl,0,0,0,0,0,0,0,0
Senapati,24533,71289,5632,17733,104431,15152,982,43248
Tamenglong,1420,40681,363,3799,51779,721,419,5638
Tengnoupal,9291,25128,1999,6217,36778,4896,592,16100
Thoubal,17285,101606,4386,23796,155300,14803,2100,43181
Ukhrul,12484,81144,3362,9633,120416,7249,1028,23145
