District,Bank Name,Smalland Marginal No.,Amt,Scheduled Castes No.,Scheduled Tribes No.,DRI scheme No.,Self Help Groups No.,womenbeneficiaries No.,Minoritycommunities No.,PMJDY No.,Others No.,Tot Weaker Sec O/S No.
Bishnupur,,8436,12310.69,483,121,0,500,4135,600,2,386,14663
Chandel,,118,1285.21,0,294,0,2,69,221,0,15,719
Churachandpur,,3991,26317.07,17,3017,0,210,529,3176,248,71,11259
Imphal East,,7484,21331.57,98,793,0,960,12630,866,144,1449,24424
Imphal West,,22168,61381.73,572,1683,7,727,11737,1369,261,1990,40514
Jiribam,,275,693.49,329,292,0,37,72,1,0,5,1011
Kakching,,3597,11159.59,3485,416,0,298,618,99,1,55,8569
Kamjong,,0,21.77,0,0,0,0,0,11,0,0,11
Kangpokpi,,867,6595.2,102,1130,0,37,261,776,3,16,3192
Noney,,634,2455.06,4,815,4,64,25,841,1,1,2389
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,2162,9166.48,0,709,0,75,790,1697,6,33,5472
Tamenglong,,1533,6922.02,0,267,24,5,98,430,5,7,2369
Tengnoupal,,915,4402.92,11,1033,0,198,71,803,4,73,3108
Thoubal,,6473,14832.18,277,185,0,811,8410,1860,123,458,18597
Ukhrul,,1674,7961.62,0,1183,0,97,67,277,0,119,3417
