District,Duringthe Quarter Savings Linked No.,Duringthe Quarter Savings Linked Amt,Duringthe Quarter Credit Linked No.,Duringthe Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Pct
Bishnupur,189,4.44,3,7.5,189,4.44,7,15.5,296,267.24,48,22.91,8.57
Chandel,122,7.14,0,0,122,7.14,0,0,2,0.07,2,0.07,100
Churachandpur,1074,12050.48,3,2,1074,38.6,21,26.5,172,125.71,97,24.78,19.71
Imphal East,123,6014.66,39,93.03,127,5.98,39,93.03,359,345.78,42,23.68,6.85
Imphal West,589,15085.32,40,64,749,76.81,60,95.7,342,415.21,91,85.31,20.55
Jiribam,17,0.21,0,0,17,0.21,0,0,50,32.42,1,0.33,1.02
Kakching,206,25.22,5,5.7,217,25.56,98,136.27,158,171.65,18,7.69,4.48
Kamjong,139,2.22,0,0,139,2.22,0,0,0,0,0,0,0
Kangpokpi,188,8008.27,0,0,198,3.26,10,15,38,35.16,25,21.68,61.66
Noney,88,4.44,0,0,88,4.44,0,0,46,47.65,16,12.03,25.25
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,400,27.39,0,0,400,27.39,0,0,86,150.52,1,0.48,0.32
Tamenglong,71,2.72,0,0,71,2.72,0,0,12,7.1,6,0.85,11.97
Tengnoupal,188,16.61,0,0,188,16.61,38,102.46,64,126.26,2,1.4,1.11
Thoubal,397,79.69,44,79.48,397,79.39,89,142.22,319,301.62,53,16.74,5.55
Ukhrul,42,0.47,0,0,42,0.47,0,0,123,159.55,103,150.84,94.54
