District,Bank Name,Inactive CSP,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated Sb accounts,RuPaycardissuedin KCC
Bishnupur,BOB,14,118830,16407,92334,805
Chandel,BOI,4,7308,5189,15081,55
Churachandpur,BOM,192,68994,37132,131407,1406
Imphal East,CAN,1998,194827,34151,160354,4784
Imphal West,CBI,4794,258179,172183,535791,9654
Jiribam,IND,0,82053,150,23535,23
Kakching,IOB,3,83424,15758,65495,667
Kamjong,PNB,0,1932,1932,2516,0
Kangpokpi,PSB,55,17560,21063,46218,510
Noney,SBI,2,2906,2841,3096,27
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,5,64058,18347,54428,454
Tamenglong,Total,0,120305,2308,23591,14
Tengnoupal,AXIS,154,26159,5457,14759,37
Thoubal,BAND,26,74432,24991,126635,774
Ukhrul,HDFC,4,98057,11913,69964,229
