district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,141.35,71,476.43,118,72.01,20,21.46,335.54,162
Dimapur,1092.11,209,2414.57,270,1032.30,295,37.48,2753.99,766
Kiphire,70.33,24,284.80,91,71.48,34,9.13,783.00,363
Kohima,614.51,138,1656.25,213,261.46,128,19.92,1312.59,562
Longleng,0.00,0,145.15,44,2.76,4,0.74,372.14,203
Mokokchung,299.45,44,692.24,79,622.88,123,66.17,941.29,246
Mon,108.56,37,717.86,152,9.66,5,1.55,623.41,348
Niuland,0.00,0,90.06,28,0.00,0,0.00,35.74,16
Noklak,0.00,0,0.00,0,10.52,7,6.83,153.93,79
Peren,1.74,1,188.79,59,175.67,82,30.54,575.19,258
Phek,88.95,34,630.57,200,477.90,179,43.85,1089.87,414
Shamator,0.00,0,21.66,6,0.00,0,0.00,39.78,17
Tseminyu,9.10,3,132.25,37,0.00,0,0.00,8.49,9
Tuensang,7.98,3,175.61,55,6.73,4,1.01,669.01,348
Wokha,60.70,22,491.26,85,3.53,2,0.87,404.65,147
Zunheboto,19.55,18,584.13,135,38.72,24,7.19,538.80,310
