district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,66.29,21,209.71,55,1385.99,285,6980.37,1819
Dimapur,786.84,292,2099.94,931,15915.65,4171,58693.13,18286
Kiphire,20.30,2,20.19,2,0.00,0,16.84,6
Kohima,202.50,48,680.84,268,12027.63,3275,34258.65,9693
Longleng,0.73,1,2.97,2,4.50,1,28.47,4
Mokokchung,57.43,9,116.34,33,1978.28,419,11589.48,4719
Mon,43.28,8,90.50,29,1419.57,358,2724.22,890
Niuland,0.00,0,0.33,2,12.59,6,228.32,229
Noklak,1.39,2,7.12,3,0.00,0,18.75,3
Peren,2.91,3,20.34,6,38.31,6,127.88,19
Phek,29.45,3,38.72,8,162.15,33,458.82,108
Shamator,0.00,0,0.42,1,12.20,9,121.55,36
Tseminyu,0.00,0,4.92,2,314.92,64,757.24,241
Tuensang,49.59,8,66.80,12,11.00,2,56.59,8
Wokha,38.26,7,68.91,21,561.04,165,1983.89,904
Zunheboto,43.85,6,104.48,22,354.66,92,1122.78,393
