district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,43050.74,38856.52,1041.11,85.23,67.94,53.26,50510.50,57195.89,1954.75,75.64,82948.37,109661.14
Dimapur,20130.85,38494.23,260818.83,76.78,55.94,54.87,26217.80,68815.60,475318.19,56.01,319443.91,570351.59
Kiphire,2951.32,12608.80,13.33,132.86,112.12,,2221.35,11245.36,0.00,115.64,15573.45,13466.71
Kohima,15285.83,160352.58,2080.09,51.16,24.76,128.46,29879.17,647687.40,1619.24,26.17,177718.50,679185.81
Longleng,10620.08,40.95,0.00,138.60,,,7662.45,0.00,0.00,139.13,10661.03,7662.45
Mokokchung,18805.86,55809.21,79.85,80.00,79.25,,23507.61,70422.32,0.00,79.52,74694.92,93929.93
Mon,12280.24,18745.79,4.50,101.88,73.68,,12053.17,25443.63,0.00,82.76,31030.53,37496.80
Niuland,6587.37,7153.99,0.00,119.82,169.95,,5497.62,4209.46,0.00,141.56,13741.36,9707.08
Noklak,2656.53,27.97,0.00,73.63,,,3607.97,0.00,0.00,74.40,2684.50,3607.97
Peren,18048.33,1615.82,51.90,114.85,75.51,,15714.95,2139.96,0.00,110.42,19716.05,17854.91
Phek,11854.82,16743.41,24.80,72.32,91.45,,16391.10,18308.56,0.00,82.49,28623.03,34699.66
Shamator,2125.77,187.03,67.37,139.30,54.64,,1526.01,342.32,0.00,127.40,2380.17,1868.33
Tseminyu,6333.60,1254.41,0.00,61.00,,,10382.50,0.00,0.00,73.08,7588.01,10382.50
Tuensang,4544.69,27270.61,0.00,138.01,130.66,,3293.07,20871.88,0.00,131.66,31815.30,24164.95
Wokha,6646.28,23281.71,70.06,97.19,63.22,,6838.17,36827.80,0.00,68.70,29998.05,43665.97
Zunheboto,8946.97,25601.53,86.60,75.28,125.73,1443.33,11885.31,20361.92,6.00,107.38,34635.10,32253.23
