district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,13,7,1,13,2,15,8,9,1,21,18
Dimapur,48,58,42,57,15,457,2,10,36,148,48
Kiphire,3,1,0,12,0,12,1,2,0,4,3
Kohima,35,58,0,25,22,47,9,35,1,93,45
Longleng,0,3,0,13,0,13,2,0,0,3,2
Mokokchung,7,24,0,17,6,23,13,12,0,31,25
Mon,3,4,0,18,0,18,6,4,0,7,10
Niuland,2,0,0,3,0,3,3,0,0,2,3
Noklak,1,0,0,4,0,4,1,0,0,1,1
Peren,5,1,0,12,0,12,4,1,0,6,5
Phek,8,1,0,18,0,18,5,4,0,9,9
Shamator,1,0,0,1,0,1,2,0,0,1,2
Tseminyu,3,0,0,1,0,1,3,0,0,3,3
Tuensang,0,7,0,10,0,10,3,3,0,7,6
Wokha,2,12,0,5,9,14,5,8,0,14,13
Zunheboto,3,7,0,5,0,5,5,5,0,10,10
