district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,360.69,111,213,541.06,200.86,115.80,69,16.24,713.01,293,65.97,371,1541
Dimapur,548.38,139,270,495.55,449.06,73.90,79,7.07,1045.01,464,148.32,552,1749
Kiphire,55.90,31,74,88.76,134.99,15.39,14,13.70,112.33,111,30.15,362,1005
Kohima,224.60,137,124,216.37,382.73,71.02,52,15.36,462.41,359,84.13,470,2253
Longleng,2.99,3,0,0.00,83.52,3.91,7,13.61,28.72,56,83.52,282,282
Mokokchung,438.91,175,517,722.25,339.46,166.79,155,13.97,1193.82,797,61.72,544,2221
Mon,101.42,69,191,186.17,222.18,32.30,46,14.54,222.09,228,84.05,843,2134
Niuland,208.51,87,295,598.80,87.52,142.82,103,20.79,687.06,369,30.52,149,1048
Noklak,0.00,0,0,0.00,5.63,0.00,0,0.00,0.59,9,5.63,102,102
Peren,224.01,73,27,34.51,75.27,22.26,38,7.62,292.27,241,23.92,188,659
Phek,129.30,79,153,169.27,330.88,43.31,46,12.97,333.89,292,172.71,802,2068
Shamator,2.00,2,10,9.12,18.65,0.00,0,0.00,11.41,17,13.33,170,151
Tseminyu,25.10,13,23,16.73,132.73,7.57,6,10.15,74.58,72,80.49,292,723
Tuensang,68.20,38,82,95.10,143.77,17.85,32,12.18,146.52,171,52.20,715,1680
Wokha,119.08,65,146,194.89,131.16,24.14,40,6.63,363.91,269,106.67,440,1037
Zunheboto,55.55,36,103,118.26,252.07,25.81,28,15.82,163.13,155,163.62,580,1264
