district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1014.17,11391,8863,8086,18266,868,10902,8417,20254,11282
Dimapur,2666.06,47910,39706,55522,71550,11339,46308,9220,87616,78586
Kiphire,472.25,7908,7336,8564,13197,1538,10357,6024,15244,9225
Kohima,954.78,14052,10371,12971,16713,4696,10022,13618,24423,7598
Longleng,389.83,8408,7033,8993,20021,294,10338,15441,15441,0
Mokokchung,1420.11,16844,15920,18550,26188,5753,11048,14727,32764,11502
Mon,1729.87,25879,25317,26626,40441,6347,32236,20607,51196,30599
Niuland,89.21,1777,1493,2366,1809,362,1618,3191,3270,80
Noklak,142.56,2945,2967,1200,5650,18,3928,5912,5912,0
Peren,725.59,9197,7139,8510,16742,201,8373,16317,16336,22
Phek,1092.36,12550,10493,14522,20275,2520,12779,11629,23043,11419
Shamator,72.79,1787,1770,862,3155,420,1984,3545,3557,12
Tseminyu,132.20,1511,871,1756,2036,261,807,2295,2382,87
Tuensang,780.58,14531,14084,8932,26687,1865,19221,3671,28615,24947
Wokha,608.08,9256,5693,7206,12910,835,6844,5772,14949,7210
Zunheboto,491.54,9601,9875,6382,13553,4631,6312,15000,19476,4413
