district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,2482,2727.53,6600770,153097.71,329005,27912.08,128236,6586.08,40617,497696.84,217742,5917.67
Dimapur,8794,32285.97,11682027,306540.26,5641342,291366.86,726017,39432.66,34296855,11485764.61,450385,12830.10
Kiphire,0,0.00,965295,23693.59,0,0.00,42464,1924.60,43,0.58,12033,375.81
Kohima,3883,1075.14,6967528,171675.09,1613199,84123.14,397502,21343.86,11019889,4515080.35,262694,8030.31
Longleng,0,0.00,701402,17386.57,0,0.00,12,0.09,38,0.52,7293,259.61
Mokokchung,491,70.44,3631507,91948.24,469343,18296.68,192120,12444.52,4310887,1310619.79,76479,2419.15
Mon,38,5.80,2728906,62592.00,34138,3681.99,46042,3215.65,7732,60122.03,33296,941.40
Niuland,0,0.00,266489,5019.75,0,0.00,15242,844.03,17,0.07,3654,99.63
Noklak,0,0.00,292067,6212.75,0,0.00,0,0.00,1,0.00,2709,62.00
Peren,0,0.00,1293011,26510.15,1,0.02,26947,1556.21,10,0.07,23527,608.26
Phek,0,0.00,1945316,48590.29,4189,224.68,56008,1129.04,741,9883.43,29223,864.62
Shamator,0,0.00,126117,3815.75,0,0.00,1069,80.87,0,0.00,1181,38.08
Tseminyu,0,0.00,434380,7640.39,51501,1175.26,22720,1132.47,6850,972.20,8601,232.15
Tuensang,0,0.00,1894718,48676.57,0,0.00,36061,911.99,10,0.20,27411,803.44
Wokha,539,100.43,2665940,57844.32,119509,8625.96,47429,1916.46,10814,209686.53,40290,1068.86
Zunheboto,51,4.87,1675828,38650.35,1688,1941.72,31007,1074.54,899,75348.03,32192,1004.30
