district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,53527,16222,0,17453,1073
Dimapur,151732,23906,166,71215,1756
Kiphire,19518,13201,1,13201,669
Kohima,104984,12166,22,24222,907
Longleng,12571,11706,4,11706,112
Mokokchung,79777,14025,7,18915,2270
Mon,61484,35878,7,36925,340
Niuland,9966,2153,1,2447,310
Noklak,4556,5198,2,5198,13
Peren,19922,10589,1,10589,1501
Phek,42241,16753,2,17048,1062
Shamator,1955,2446,0,2741,53
Tseminyu,8330,1259,0,1224,161
Tuensang,25612,24256,5,24256,414
Wokha,37966,9602,1,11327,471
Zunheboto,29798,11209,2,12599,632
