district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,65.00,5,271.43,144,0.00,0,100.88,50,14.51,7,451.82,206,0.00,0
Dimapur,640.28,26,13305.32,4341,253.34,38,1354.57,491,361.38,53,15914.89,4949,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,12.49,13,0.70,2,13.19,15,0.00,0
Kohima,107.65,14,9256.86,3413,0.00,0,248.50,85,18.04,14,9631.05,3526,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,106.22,20,0.00,0,106.22,20,0.00,0
Mokokchung,9.50,4,900.04,395,0.00,0,44.33,23,0.00,0,953.87,422,0.00,0
Mon,0.00,0,1546.08,400,0.00,0,107.01,36,25.00,2,1678.09,438,0.00,0
Niuland,0.00,1,195.88,77,0.00,0,0.50,1,0.00,0,196.38,79,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,1.42,2,0.00,0,1.42,2,0.00,0
Peren,10.50,1,0.00,0,0.00,0,3.09,11,1.00,1,14.59,13,0.00,0
Phek,0.00,1,153.52,60,0.00,0,49.01,23,0.12,1,202.65,85,0.00,0
Shamator,0.00,0,86.10,25,0.00,0,37.64,6,0.00,0,123.74,31,0.00,0
Tseminyu,0.00,0,141.45,37,0.00,0,0.00,0,0.00,0,141.45,37,0.00,0
Tuensang,0.00,1,0.00,0,0.00,0,48.74,19,0.00,2,48.74,22,0.00,0
Wokha,1.00,3,573.91,263,0.00,0,106.00,20,0.60,2,681.51,288,0.00,0
Zunheboto,6.00,3,660.94,206,0.00,0,42.87,20,6.50,2,716.31,231,0.00,0
