district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,109.37,53,11.37,11,0.00,0,0.00,62.91,40
Dimapur,165.97,60,0.62,1,5.56,7,6.19,89.81,56
Kiphire,28.20,25,0.02,2,1.80,3,5.89,30.54,29
Kohima,144.64,103,13.83,8,5.26,6,3.80,138.26,154
Longleng,17.34,15,1.06,5,0.00,0,0.00,17.35,28
Mokokchung,177.43,96,0.99,3,14.28,21,5.50,259.41,214
Mon,69.95,58,0.19,15,6.73,10,6.75,99.71,116
Niuland,94.22,60,0.00,0,0.00,0,0.00,73.49,64
Noklak,0.58,2,0.00,0,0.00,0,0.00,0.59,9
Peren,216.48,91,1.91,4,0.00,0,0.00,20.49,32
Phek,165.45,128,0.22,4,1.40,2,4.07,34.43,27
Shamator,3.00,3,0.00,0,0.00,0,0.00,0.98,4
Tseminyu,55.05,40,0.00,0,0.00,0,0.00,6.13,4
Tuensang,43.73,29,0.19,4,1.60,1,10.67,14.99,37
Wokha,59.22,40,0.00,0,5.58,7,4.59,121.51,132
Zunheboto,40.80,27,0.00,0,2.90,4,4.87,59.54,68
