district,Nameof Villagewithpopulation >5000,Population,Bank,Allottedto Bankforopeningof Branchdulyapprovedinthe DCC/SLBC,Noof Brick & Mortar Br. Tobeopened (Jan-16 to Mar-16),Noof Brick & Mortar Br. Tobeopened (April-16 to Mar-2017)
Bishnupur,Wangoo Ahallup,"9,148",No,HDFC,,April-16 to Mar-2017
Churachandpur,Vengnuam,"7,302",,Syndicate Bank,,April-16 to Mar-2017
Kakching,Wabagai,"8,578",No,SBI,,April-16 to Mar-2017
Thoubal,Heirok Part I I (Pt),"6,205",No,Allahabad Bank,,April-16 to Mar-2017
