District,PMJDY No.,PMJDY Cumml No.,PMJJBY No.,PMJJBY Cumml No.,PMSBY No.,PMSBY Cumml No.,APY No.,APY Cumml No.
Bishnupur,3000,122356,313,2672,496,6837,19,910
Chandel,163,19331,25,918,9,2216,3,139
Churachandpur,3362,103928,5061,13680,4487,16775,401,1752
Imphal East,3001,226174,516,8769,1372,33868,149,2587
Imphal West,16302,285357,2298,15321,3139,49994,384,4427
Jiribam,0,6142,0,0,0,0,0,0
Kakching,1457,103781,126,621,770,3072,84,170
Kamjong,4,1506,1,30,0,56,75,76
Kangpokpi,5019,24759,615,1293,1817,3427,150,248
Noney,182,2518,2,62,3,394,1,26
Pherzawl,0,183,0,0,0,0,0,0
Senapati,788,49880,36,1340,65,4718,4,212
Tamenglong,239,51684,4,177,14,633,3,3
Tengnoupal,411,18021,74,391,128,1367,7,49
Thoubal,10748,136275,707,2814,1413,6749,104,764
Ukhrul,2742,98718,23,776,29,1713,1,126
