District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery %,Overdues
Bishnupur,0,0,0,0,,0
Chandel,0,0,0,0,,0
Churachandpur,1,0.02,0,0,,0
Imphal East,241,176.41,0,0,,0
Imphal West,3,12.43,1.63,0.89,55,0.74
Jiribam,0,0,0,0,,0
Kakching,0,0,0,0,,0
Kamjong,0,0,0,0,,0
Kangpokpi,0,0,0,0,,0
Noney,1,0.53,0,0,,0
Pherzawl,0,0,0,0,,0
Senapati,0,0,0,0,,0
Tamenglong,0,0,0,0,,0
Tengnoupal,91,70.25,0,0,,0
Thoubal,90,65.46,0,0,,0
Ukhrul,0,0,0,0,,0
