District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery %,Overdues
Bishnupur,497,798.26,36.8,11.6,32,25.2
Chandel,323,495.27,72.73,1.22,2,71.51
Churachandpur,304,467.7,79.08,23.03,29,56.05
Imphal East,638,2034.11,442.38,94.04,21,348.34
Imphal West,992,3335.24,439.35,96.1,22,343.25
Jiribam,24,54.6,6.08,4.88,80,1.2
Kakching,233,444.11,70.59,29.51,42,41.08
Kamjong,27,61.5,7.31,0.53,7,6.78
Kangpokpi,188,400.02,55.56,26.99,49,28.57
Noney,24,52.08,5.04,0.37,7,4.67
Pherzawl,0,0,0,0,,0
Senapati,257,403.1,54.81,12.11,22,42.7
Tamenglong,208,249.62,35.61,13.17,37,22.44
Tengnoupal,50,65.86,6.76,1.66,25,5.1
Thoubal,450,870.56,91.49,47.15,52,44.34
Ukhrul,336,491.64,55.35,23.33,42,32.02
