district,Current Year Numberof Cardsissued,Current Year Limit Sanctioned,O/S Position Numberof Cardsissued,O/S Position Limit Sanctioned
Bishnupur,211,81.97,4270,1836.73
Chandel,8,4.88,349,234.71
Churachandpur,95,62.52,1184,727.09
Imphal East,250,407.21,4880,2977.27
Imphal West,191,230.51,10278,7386.34
Jiribam,11,7.6,55,17.06
Kakching,67,37.08,852,362.76
Kamjong,0,0,0,0
Kangpokpi,0,0,687,416.69
Noney,10,3.45,13,4.22
Pherzawl,0,0,0,0
Senapati,151,115.52,1365,881.22
Tamenglong,18,9,77,29.91
Tengnoupal,5,6.45,160,102.77
Thoubal,201,212.64,2624,1224.04
Ukhrul,8,4.31,368,271.35
