district,Rural Br,Urb,Urban,Total,BC,Atm,Atm Su,Atm,Total Atm
Chandel,4,0,0,4,7,0,0,0,4
Churachandpur,11,5,1,17,29,2,17,2,29
Imphal West,9,5,59,73,60,101,10,101,175
Jiribam,2,0,0,2,5,0,0,0,2
Kakching,1,7,0,8,26,0,5,0,10
Kamjong,1,0,0,1,2,0,0,0,1
Kangpokpi,8,0,0,8,8,2,0,2,8
Noney,3,0,0,3,4,0,0,0,1
Pherzawl,1,0,0,1,0,0,0,0,0
Tengnoupal,3,4,0,7,6,0,3,0,6
Thoubal,3,13,0,16,36,0,13,0,26
Ukhrul,3,3,0,6,12,1,5,1,7
