district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Bishnupur,0,0.00,346,4363.27,36,389.91,382,4753.18
Chandel,0,0.00,10,150.03,96,1193.45,106,1343.48
Churachandpur,25,418.10,432,6951.19,229,2328.43,686,9697.72
Imphal East,405,3657.59,262,451.13,426,5963.73,1093,10072.45
Imphal West,4395,44883.62,763,7187.82,90,1351.74,5248,53423.18
Jiribam,0,0.00,0,0.00,8,37.72,8,37.72
Kakching,0,0.00,226,3609.92,0,0.00,226,3609.92
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,0,0.00,0,0.00,142,2325.63,142,2325.63
Noney,0,0.00,0,0.00,0,0.00,0,0.00
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,0,0.00,0,0.00,218,4207.35,218,4207.35
Tamenglong,0,0.00,4,65.80,0,0.00,4,65.80
Tengnoupal,0,0.00,18,204.00,36,570.63,54,774.63
Thoubal,0,0.00,206,2699.79,0,0.00,206,2699.79
Ukhrul,0,0.00,9,106.14,0,0.00,9,106.14
