District,Sep-I No.,Sep-I Amt,Sep-GNo,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Amt. %
Bishnupur,0,0,0,0,0,7,10.78,61,6,9.60,60,7,10.78,12,11.07,4,0.56,5.06
Chandel,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Churachandpur,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,6,1.98,6,1.98,100.00
Imphal East,0,0,0,0,0,16,17.20,160,16,17.20,160,16,17.20,19,18.57,3,3.15,16.96
Imphal West,0,0,0,0,0,5,12.00,50,5,12.00,50,5,12.00,17,18.83,7,3.10,16.46
Jiribam,0,0,0,0,0,0,0.00,0,1,0.50,1,0,0.00,9,8.37,3,2.97,35.48
Kakching,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,11,6.61,5,1.93,29.20
Kamjong,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Noney,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,3,2.20,2,1.48,67.27
Pherzawl,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Senapati,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,1,0.60,0,0.00,0.00
Tamenglong,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,4,0.27,3,0.23,85.19
Tengnoupal,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Thoubal,0,0,0,0,0,31,54.81,292,30,52.90,291,31,54.81,35,53.11,4,0.97,1.83
Ukhrul,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,65,7.00,59,6.76,96.57
