District,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Bishnupur,9,11,0,0,1,0,12,11,4,1,753,1300,371,626,375,274,103,42,1,21,0,0
Chandel,3,1,0,0,1,1,0,0,0,0,235,406,117,186,3,1,1,1,0,0,0,0
Churachandpur,184,68,0,0,145,28,6,2,6,2,521,1019,199,296,264,147,161,38,30,437,0,0
Imphal East,846,808,8,3,26,16,19,19,3,3,1062,3542,336,907,1024,987,83,61,29,230,3,51
Imphal West,176,236,1,0,11,7,17,19,7,3,1261,4474,473,1425,612,700,108,78,92,1337,28,434
Jiribam,1,0,0,0,0,0,9,8,3,3,26,45,6,11,2,0,1,0,0,0,0,0
Kakching,31,34,0,0,0,0,11,7,5,2,255,451,143,261,94,77,25,10,6,67,1,16
Kamjong,0,0,0,0,0,0,0,0,0,0,46,77,33,36,0,0,0,0,1,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,185,416,42,126,31,31,0,0,0,0,0,0
Noney,0,0,0,0,0,0,3,2,2,1,37,75,24,46,76,60,49,31,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,10,21,5,10,0,0,0,0,0,0,0,0
Senapati,15,12,0,0,3,2,1,1,0,0,760,1343,394,671,45,58,12,9,21,394,0,0
Tamenglong,4,1,0,0,4,1,4,0,3,0,294,362,118,141,10,4,7,1,0,0,0,0
Tengnoupal,158,159,0,0,0,0,0,0,0,0,99,168,31,43,218,261,2,1,0,0,0,0
Thoubal,184,199,0,0,10,6,35,53,4,1,647,1390,202,325,594,556,169,97,20,96,1,15
Ukhrul,9,10,0,0,4,0,65,7,59,7,410,576,237,364,160,128,66,10,0,0,0,0
