district,EnrolmentunderPMJJBY,eligiblecasesunderPMJJBY,renewalsunderPMJJBY,EnrolmentunderPMSBY,eligiblecasesunderPMSBY,renewalsunder PMSBY,EnrolmentunderAPY,TotalEnrolment No.
Bishnupur,12784,129843,3194,43076,194179,14784,3214,59074
Chandel,1986,21620,616,5183,33925,2275,125,7294
Churachandpur,12368,142047,4385,28280,208301,11307,1579,42227
Imphal East,18721,183642,5822,64701,265953,23541,6532,89954
Imphal West,54759,416103,25491,142676,600959,55308,15048,212483
Jiribam,2759,9406,241,7058,11919,623,1487,11304
Kakching,8331,83491,1556,32306,127151,12632,1919,42556
Kamjong,135,2046,28,687,3757,324,17,839
Kangpokpi,7577,25359,1693,10885,43294,3923,599,19061
Noney,1031,9860,426,3272,13045,1734,214,4517
Pherzawl,83,458,23,462,704,188,9,554
Senapati,9912,68962,1472,24675,100941,7837,1419,36006
Tamenglong,1706,43109,206,8402,54203,1030,1313,11421
Tengnoupal,5482,50845,1248,11879,67022,3575,778,18139
Thoubal,13752,135741,2316,38911,210456,13799,4023,56686
Ukhrul,4935,84194,1197,11936,120947,3011,1091,17962
