District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,79,74,156,83,1,103,1470941,709,,
Arwal,40,19,60,20,11,1,32,392466,237,
Aurangabad,120,25,184,46,38,45,129,1653075,711,
Banka,73,114,33,48,81,743099,361,,,
Begusarai,82,103,224,40,71,63,174,1529577,1464,
Bhagalpur,102,91,85,278,46,87,154,287,1580136,2064
Bhojpur,131,53,48,232,42,45,111,198,1537850,1350
Buxar,89,35,29,153,25,18,47,90,1044208,727
Darbhanga,111,64,67,242,51,27,142,220,2299729,1766
Gaya,178,39,88,305,82,40,212,334,2702972,2339
Gopalganj,118,64,182,48,75,10,133,1679585,922,
Jamui,76,39,116,15,25,40,920135,445,,
Jehanabad,57,13,25,95,18,9,42,69,641887,405
Kaimur (Bhabua),81,36,120,51,63,1027322,540,,,
Katihar,101,36,41,178,29,19,74,122,1614825,789
Khagaria,53,58,4,115,17,54,79,633835,490,
Kishanganj,60,27,21,108,14,16,41,71,1062226,437
Lakhisarai,45,33,1,79,4,30,36,452383,307,
Madhepura,39,72,112,10,66,80,1326867,742,,
Madhubani,123,150,274,47,121,174,2317355,1342,,
Munger,62,28,421,132,20,23,56,99,723711,774
Muzaffarpur,183,83,115,381,98,55,289,442,2789257,4074
Nalanda,147,62,40,249,24,60,82,166,1549119,1047
Nawada,73,61,3,137,8,54,65,1296963,493,
Pashchim Champaran,94,70,41,205,36,48,71,155,2405848,1032
Patna,217,164,542,923,164,183,1146,1493,5236766,16946
Purbi Champaran,108,125,45,278,41,57,87,185,2971792,2081
Purnia,102,48,71,221,33,22,81,136,2339082,1372
Rohtas,135,45,46,226,21,58,74,153,1840837,1130
Saharsa,51,27,24,102,9,73,91,1200274,740,
Samastipur,164,120,285,51,139,15,205,2452787,1202,
Saran,163,49,50,262,46,39,97,182,2654945,1277
Sheikhpura,30,30,1,61,28,38,296757,161,,
Sheohar,21,25,0,46,13,1,23,180277,191,
Sitamarhi,68,101,0,169,33,72,7,112,1595495,792
Siwan,132,63,47,242,50,36,80,166,1876132,1384
Supaul,48,71,1,120,26,65,1,92,1450703,607
Vaishali,137,61,43,241,52,41,123,216,1993297,1710
